id,age,trial,target,rightpic,leftpic,chosen,chosenside,chosenpic,correct,date,time,rt
1,7,0,D1,K1,D1,1,R,D1,Y,2/13/2020,11:35:20,4694
1,7,1,A1,A1,H1,2,L,A1,Y,2/13/2020,11:35:20,2307
1,7,2,E1,E1,I1,2,L,E1,Y,2/13/2020,11:35:20,2888
1,7,3,I1,I1,B1,1,L,I1,Y,2/13/2020,11:35:20,4402
1,7,4,C1,E1,C1,2,R,C1,Y,2/13/2020,11:35:20,4575
1,7,5,B1,C1,B1,1,R,B1,Y,2/13/2020,11:35:20,2101
1,7,6,F1,F1,K1,1,L,F1,Y,2/13/2020,11:35:20,3375
1,7,7,G1,G1,C1,2,L,G1,Y,2/13/2020,11:35:20,5651
1,7,8,H1,H1,C1,1,L,H1,Y,2/13/2020,11:35:20,2976
2,7,0,G1,G1,C1,1,L,G1,Y,2/13/2020,11:38:27,3666
1,7,9,K1,B1,K1,2,R,K1,Y,2/13/2020,11:35:20,3547
2,7,1,C1,E1,C1,2,R,C1,Y,2/13/2020,11:38:27,3373
2,7,2,E1,E1,I1,2,L,E1,Y,2/13/2020,11:38:27,4267
2,7,3,F1,K1,F1,1,L,K1,N,2/13/2020,11:38:27,8010
2,7,4,K1,F1,K1,2,L,F1,N,2/13/2020,11:38:27,2838
2,7,5,B1,C1,B1,2,R,B1,Y,2/13/2020,11:38:27,3372
2,7,6,H1,C1,H1,1,R,H1,Y,2/13/2020,11:38:27,2807
2,7,7,I1,B1,I1,1,R,I1,Y,2/13/2020,11:38:27,6256
2,7,8,D1,E1,D1,1,R,D1,Y,2/13/2020,11:38:27,2738
2,7,9,A1,A1,I1,2,L,A1,Y,2/13/2020,11:38:27,2775
3,7,0,C1,A1,C1,1,R,C1,Y,2/13/2020,11:40:21,3355
3,7,1,D1,D1,H1,1,L,D1,Y,2/13/2020,11:40:21,9974
3,7,2,A1,A1,I1,2,L,A1,Y,2/13/2020,11:40:21,2964
3,7,4,B1,B1,D1,2,L,B1,Y,2/13/2020,11:40:21,2557
3,7,3,G1,E1,G1,2,R,G1,Y,2/13/2020,11:40:21,2076
3,7,5,F1,B1,F1,1,R,F1,Y,2/13/2020,11:40:21,3357
3,7,7,E1,I1,E1,2,R,E1,Y,2/13/2020,11:40:21,2010
3,7,8,K1,B1,K1,2,R,K1,Y,2/13/2020,11:40:21,2018
3,7,9,H1,H1,E1,1,L,H1,Y,2/13/2020,11:40:21,3261
5,7,0,A1,D1,A1,2,R,A1,Y,2/13/2020,11:55:29,6076
