subid,type,trial,target,person,utterance,selection,correct
54,practice,1,apple,parent,"ok, xxx, I have the blue box so I am going to ask you to pick the apple. Can you touch the apple? The one that looks like an apple?",,Y
54,practice,1,apple,child,,child,Y
54,practice,4,apple,parent,"ok, so which one has the blue box?",,Y
54,practice,4,apple,child,the apple,,Y
54,practice,4,apple,parent,"the apple? ok, i'm going to pick the apple",,Y
54,practice,4,apple,parent,,parent,Y
54,practice,2,artichoke,parent,now it's your turn. which one has the blue box? can you tell me? can you describe it? tell me which one has the blue box around it and i'll pick that same one.,,N
54,practice,2,artichoke,child,i don't know,,N
54,practice,2,artichoke,parent,"ok, well can you describe it? what does it look like?",,N
54,practice,2,artichoke,child,um,,N
54,practice,2,artichoke,parent,"is it... does it have a lot of scales on it, like a lizard?",,N
54,practice,2,artichoke,child,yeah,,N
54,practice,2,artichoke,parent,or is it more round with like little hairs on the bottom. which one is it?,,N
54,practice,2,artichoke,child,it has like a square around it that is sticking out.,,N
54,practice,2,artichoke,parent,"ok, but the picture inside the blue box, does it have scales ike a lizard or is it more smooth?",,N
54,practice,2,artichoke,child,more smooth,,N
54,practice,2,artichoke,parent,"it's not the one with the scales, it's the one that's more smooth that's got the little hairs at the bottom",,N
54,practice,2,artichoke,child,yeah,,N
54,practice,2,artichoke,parent,"ok, i'm going to pick the more round one",,N
54,practice,2,artichoke,parent,,parent,N
54,practice,5,artichoke,parent,"alright, i've got the blue box. can you pick the one that looks like it has scales?",,Y
54,practice,5,artichoke,child,,child,Y
54,practice,5,artichoke,parent,that one's called an artichoke,,Y
54,practice,3,onion,parent,"alright, now it's my turn. so, same pictures, you've got the one that's got the scales on it, and the one that you told me to pick. the one i think you told me to pick which is more smooth. can you pick the one that's more smooth?",,Y
54,practice,3,onion,parent,"you can't look, xxx, sit down.",,Y
54,practice,3,onion,parent,so more smooth with a little tuft of hair?,,Y
54,practice,3,onion,child,,child,Y
54,practice,6,onion,parent,"your turn, you have the blue box, which one should i pick?",,Y
54,practice,6,onion,child,um,,Y
54,practice,6,onion,parent,"you don't know. ok, is it the one with the scales? that looks like it has scales? or is it the..",,Y
54,practice,6,onion,child,"no, it's with the hair",,Y
54,practice,6,onion,parent,"it's with the hair at the bottom? small tufts of hair? ok, i'll pick that one.",,Y
54,practice,6,onion,parent,,parent,Y
54,test,4,A1,parent,"alright, so which one has the blue box for you?",,Y
54,test,4,A1,child,"um, it's on the side and it has a square on the top and a triangle and a triangle and a triangle and then another triangle and then this thing right here, i don't know, and then this thing right here and that's all it is on there. and it looks like this and this are feet, this and this are legs and this is a body and this is a head of a person and it looks like that person is running.",,Y
54,test,4,A1,parent,"ok, thank you! that's very descriptive, i'm going to pick the one that looks like the person running, okay? with two feet at the bottom, that looks like they're running, okay?",,Y
54,test,4,A1,child,yeah,,Y
54,test,4,A1,parent,thank you,,Y
54,test,4,A1,parent,,parent,Y
54,test,18,A1,parent,"this person is not the one we just picked, it's the other one. it looks like the person walking",,Y
54,test,18,A1,child,"no, running",,Y
54,test,18,A1,parent,"oh, yeah, running, ok, they look like they're moving pretty fast, can you pick the one who's running?",,Y
54,test,18,A1,child,,child,Y
54,test,30,A1,child,it's the person running,,Y
54,test,30,A1,parent,running?,,Y
54,test,30,A1,parent,,parent,Y
54,test,36,A1,parent,the one who's running,,Y
54,test,36,A1,child,,child,Y
54,test,6,B1,child,"mine looks like, now mine looks like it's the same but now it's walking",,Y
54,test,6,B1,parent,"the person's walking now? ok, that's very good.",,Y
54,test,6,B1,child,can you pick that one?,,Y
54,test,6,B1,parent,i'll pick that one,,Y
54,test,6,B1,parent,,parent,Y
54,test,14,B1,parent,"ok, so for me this is the person who's walking, can you pick the one who looks like they're walking?",,Y
54,test,14,B1,child,,child,Y
54,test,28,B1,parent,"ok, which one",,Y
54,test,28,B1,child,the people that's walking,,Y
54,test,28,B1,parent,the person's walking? okay,,Y
54,test,28,B1,parent,,parent,Y
54,test,32,B1,parent,ok. the one who's walking? pick that one please?,,Y
54,test,32,B1,child,,child,Y
54,test,9,C1,parent,"ok, so what i see is i see the one who looks like they're jumping again and one that looks like they're kneeling. the one who's not jumping, can you pick the one who looks like they're on their hands and knees?",,Y
54,test,9,C1,child,,child,Y
54,test,15,C1,child,now mine just looks like yours that you got,,Y
54,test,15,C1,parent,the walking?,,Y
54,test,15,C1,child,"no, the one going like this (bends over)",,Y
54,test,15,C1,parent,"ok, alright, they're kneeling",,Y
54,test,15,C1,child,yeah,,Y
54,test,15,C1,parent,,parent,Y
54,test,29,C1,parent,"ok pick the one who's kneeling down, who's down on the ground",,Y
54,test,29,C1,child,,child,Y
54,test,33,C1,parent,"ok, which one?",,Y
54,test,33,C1,child,kneeling down,,Y
54,test,33,C1,parent,kneeling down? okay,,Y
54,test,33,C1,parent,,parent,Y
54,test,10,D1,child,so i see triangle and triangle and a square on top and then another triangle and triangle and this that's not supposed to be there and i think that that person fell over and and and cut his head off and then broke,,Y
54,test,10,D1,parent,"oh no, that's not good for that person!",,Y
54,test,10,D1,child,"i think that he falled down from all the way, he fell down from all the way seventeen",,Y
54,test,10,D1,parent,that's such a far distance it's not good for someone to fall that far,,Y
54,test,10,D1,child,yeah he actually did that,,Y
54,test,10,D1,parent,okay,,Y
54,test,10,D1,child,he died,,Y
54,test,10,D1,parent,"he fell down and died, that's what it looks like? and lost their head?",,Y
54,test,10,D1,child,"yeah, it's on the side",,Y
54,test,10,D1,parent,"i don't know what side it's on, but i'm going to pick the one that's the person who fell down. alright, so the person who's lying down",,Y
54,test,10,D1,parent,they fell down and lost their head,,Y
54,test,10,D1,parent,,parent,Y
54,test,16,D1,parent,"ok, this is for me, pick the one who's not jumping but the one who's uh, fell down and lost their head. the jet.",,Y
54,test,16,D1,child,no he's not a jet,,Y
54,test,16,D1,parent,he fell down and lost his head,,Y
54,test,16,D1,child,yeah but don't call him a jet,,Y
54,test,16,D1,parent,"ok, choose the falling down one",,Y
54,test,16,D1,child,,child,Y
54,test,24,D1,child,its the person that fell down,,Y
54,test,24,D1,parent,the one who fell down? okay,,Y
54,test,24,D1,parent,,parent,Y
54,test,38,D1,parent,can you pick the person who fell down and lost their head?,,Y
54,test,38,D1,child,,child,Y
54,test,8,E1,parent,"ok, which blue box do you have?",,Y
54,test,8,E1,child,i have two triangles on there and those things and i have a big triangle right there that doesn't ahve that line and i have a square on top that looks like this that these are legs and this is a head and he's going (spreads arms and legs),,Y
54,test,8,E1,parent,like he's jumping?,,Y
54,test,8,E1,child,"yeah, just like that",,Y
54,test,8,E1,parent,"so it's not the person walking, it's the person who looks like they're jumping",,Y
54,test,8,E1,child,and i see the person that was walking now again,,Y
54,test,8,E1,parent,"yeah, i see that person too, but i'm going to pick the person who's jumping because that's the blue box you have, right?",,Y
54,test,8,E1,child,yup,,Y
54,test,8,E1,parent,,parent,Y
54,test,20,E1,parent,"alright, can you pick the one who's jumping? not the one who's holding a triangle",,Y
54,test,20,E1,child,you mean like this?,,Y
54,test,20,E1,parent,"yeah, the one that's jumping up in the air with their arms out",,Y
54,test,20,E1,child,,child,Y
54,test,26,E1,parent,"ok, which one do i pick?",,Y
54,test,26,E1,child,um it's the one that is doing like this,,Y
54,test,26,E1,parent,it's jumping?,,Y
54,test,26,E1,child,yeah,,Y
54,test,26,E1,parent,,parent,Y
54,test,34,E1,parent,"ok, the one who's jumping",,Y
54,test,34,E1,child,,child,Y
54,test,5,F1,parent,"okay, so i've got two and one looks like, also looks like a person who's running",,Y
54,test,5,F1,child,is it this one?,,Y
54,test,5,F1,parent,i'm going to describe the two. one looks like a person who's running and one looks like a person who's on their hands and knees. so can you pick the one that looks like the person's running?,,Y
54,test,5,F1,child,,child,Y
54,test,13,F1,parent,so what do you have now?,,Y
54,test,13,F1,child,it has a square and a triangle and a triangle and a triangle and a straight line and a traingle and a triangle and this big thing,,Y
54,test,13,F1,parent,"ok, so what does it look like?",,Y
54,test,13,F1,child,"it looks like a person is running so fast and his head is, he has he has it looks like he has three heads",,Y
54,test,13,F1,parent,three heads? wow,,Y
54,test,13,F1,child,it's a triangle and a triangle and a square,,Y
54,test,13,F1,parent,"ok, so not the person walking but the person who's running really fast",,Y
54,test,13,F1,parent,,parent,Y
54,test,27,F1,parent,"alright, can you pick the one who's running?",,Y
54,test,27,F1,child,,child,Y
54,test,35,F1,child,the one who's running,,Y
54,test,35,F1,parent,,parent,Y
54,test,1,G1,parent,"okay, so one looks like a lady sitting down. you can see her head, she's sitting straight. and the other looks like a plane, maybe. so can you pick the one that looks like the lady maybe, sitting up? with the square at the top?",,Y
54,test,1,G1,child,this one,,Y
54,test,1,G1,parent,it's not the one that looks like a plane,,Y
54,test,1,G1,child,i think i think i think this one looks like it. the one with the square on top.,,Y
54,test,1,G1,parent,"the one with the square on the very top? yeah, ok, that's what's in my blue box",,Y
54,test,1,G1,child,,child,Y
54,test,1,G1,parent,"alright, good job!",,Y
54,test,11,G1,parent,what do you have?,,Y
54,test,11,G1,child,there's a triangle and there's a square and this thing is up and theres a square and it looks like something is i think it looks like the person that fell down but i think he didn't die but because he doesn't have his legs anymore,,Y
54,test,11,G1,parent,oh yeah?,,Y
54,test,11,G1,child,he lost his legs on the side but now he has his head fixed,,Y
54,test,11,G1,parent,so it looks like he's sitting on a big square then if he doesn't have legs?,,Y
54,test,11,G1,child,yeah,,Y
