subid,type,trial,target,person,utterance,selection,correct
101,practice,1,apple,right,"so, choose the apple",,Y
101,practice,1,apple,left,apple?,,Y
101,practice,1,apple,right,yes,,Y
101,practice,1,apple,left,,left,Y
101,practice,4,apple,left,choose the apple,,Y
101,practice,4,apple,right,,right,Y
101,practice,2,artichoke,left,"um, choose the artichoke",,Y
101,practice,2,artichoke,right,yep,,Y
101,practice,2,artichoke,right,,right,Y
101,practice,5,artichoke,right,choose the artichoke,,Y
101,practice,5,artichoke,left,,left,Y
101,practice,3,onion,right,choose the onion,,Y
101,practice,3,onion,left,,left,Y
101,practice,6,onion,left,choose the onion,,Y
101,practice,6,onion,right,,right,Y
101,test,6,A1,left,choose the person that looks like they're running,,Y
101,test,6,A1,right,,right,Y
101,test,18,A1,right,choose the person who is um who appears to be running,,Y
101,test,18,A1,left,,left,Y
101,test,22,A1,left,choose the person that is running,,Y
101,test,22,A1,right,,right,Y
101,test,36,A1,right,choose the one who seems to be walking briskly,,Y
101,test,36,A1,left,,left,Y
101,test,9,B1,right,choose the person who is walking,,Y
101,test,9,B1,left,,left,Y
101,test,15,B1,left,choose the person that's walking with their head down,,Y
101,test,15,B1,right,,right,Y
101,test,27,B1,right,choose the one who's uh walking with the head tilted down a little bit,,Y
101,test,27,B1,left,,left,Y
101,test,35,B1,left,choose the person walking away sadly,,Y
101,test,35,B1,right,,right,Y
101,test,5,C1,right,choose the person who looks like they're kneeling on the ground,,Y
101,test,5,C1,left,,left,Y
101,test,11,C1,left,so choose the person that's bent over on the ground,,Y
101,test,11,C1,right,,right,Y
101,test,25,C1,right,choose the one who's uh kneeling on the ground like a prayer,,Y
101,test,25,C1,left,,left,Y
101,test,37,C1,left,choose the one who's on the ground bent over,,Y
101,test,37,C1,right,,right,Y
101,test,7,D1,right,choose the one that looks like a person lying on the uh ground with a leg up in the air,,Y
101,test,7,D1,left,,left,Y
101,test,7,D1,right,yup,,Y
101,test,19,D1,left,chose the person that apppears to be lying down,,Y
101,test,19,D1,right,,right,Y
101,test,23,D1,right,choose the one who's lying down on the ground,,Y
101,test,23,D1,left,,left,Y
101,test,33,D1,left,choose the person lying down,,Y
101,test,33,D1,right,,right,Y
101,test,10,E1,left,choose the person that looks like they might be sitting down,,Y
101,test,10,E1,right,,right,Y
101,test,12,E1,right,"choose the person, like you described earlier, who seems to be uh lying on the ground with both legs uh pointing in one direction",,Y
101,test,12,E1,left,okay,,Y
101,test,12,E1,left,,left,Y
101,test,30,E1,left,choose the person that looks like they're jumping in the air for joy,,Y
101,test,30,E1,right,,right,Y
101,test,40,E1,right,choose the one who's also jumping for joy,,Y
101,test,40,E1,left,,left,Y
101,test,2,F1,left,"uh, choose the uh, thing that has a triangle at the top",,Y
101,test,2,F1,right,okay,,Y
101,test,2,F1,left,with a square on the side,,Y
101,test,2,F1,right,yup,,Y
101,test,2,F1,right,,right,Y
101,test,16,F1,right,choose the person who has their legs wide apart and seems to have the arms pointing up in the air,,Y
101,test,16,F1,left,,left,Y
101,test,26,F1,left,choose the person who appears to be running,,Y
101,test,26,F1,right,mm,,Y
101,test,26,F1,right,,right,Y
101,test,38,F1,right,choose the one who looks like uh he's uh jumping in the air for joy,,Y
101,test,38,F1,left,,left,Y
101,test,1,G1,right,"so um choose the uh, the uh strange tower with a uh, crooked xxx on top",,Y
101,test,1,G1,left,,left,Y
101,test,17,G1,left,"choose the person that looks like a woman with a wide dress on, sitting",,Y
101,test,17,G1,right,mm,,Y
101,test,17,G1,right,,right,Y
101,test,21,G1,right,um choose the person who looks like uh a woman with a wide skirt,,Y
101,test,21,G1,left,,left,Y
101,test,39,G1,left,choose the lady,,Y
101,test,39,G1,right,,right,Y
101,test,3,H1,right,choose the one that looks like a uh person standing up with the arms,,Y
101,test,3,H1,left,,left,Y
101,test,3,H1,right,"in front, yeah",,Y
101,test,13,H1,left,choose the person that has their arms extended,,Y
101,test,13,H1,right,,right,Y
101,test,29,H1,right,choose the one who's standing up with the arms extended maybe holding a drink,,Y
101,test,29,H1,left,,left,Y
101,test,31,H1,left,choose the person with the arms extended,,Y
101,test,31,H1,right,,right,Y
101,test,4,I1,left,choose the person that looks like they're holding a glass of champagne with a xxx,,Y
101,test,4,I1,right,,right,Y
101,test,14,I1,right,choose the person who is standing but slightly bent over holding that thing that looks like champagne,,Y
101,test,14,I1,left,mhm,,Y
101,test,14,I1,left,,left,Y
101,test,28,I1,left,choose the person holding a champagne glass,,Y
101,test,28,I1,right,,right,Y
101,test,34,I1,right,choose the one who's holding a champagne glass,,Y
101,test,34,I1,left,,left,Y
101,test,8,K1,left,choose the person that looks like they're slightly bent,,Y
101,test,8,K1,right,,right,Y
101,test,20,K1,right,choose the person who is uh bent over slightly with the arms in front,,Y
101,test,20,K1,left,,left,Y
101,test,24,K1,left,choose the person slightly bent with the arms extended,,Y
101,test,24,K1,right,,right,Y
101,test,32,K1,right,choose the one who's uh bent uh forward with the arms extended,,Y
101,test,32,K1,left,,left,Y
