Timeline.ordinal,Timeline.onset,Timeline.offset,Timeline.leftspeech,Timeline.rightspeech,Timeline.selection,Timeline.trial,
0,0,0,"","okay. there's like an apple... on the screen","","p1",
1,189618,0,"","","left","p1",
2,189618,0,"there's a... i think it's an artichoke zzzz","","","p2",
3,190047,0,"","oh, i don't know what an artichoke is","","p2",
4,199749,0,"it's green and it has a lot of like"," little"," petals"," like on each other",
5,203577,0,"","oh okay","","p2",
6,206613,0,"","","right","p2",
7,206613,0,"","ummm I have... i think it's an onion in mine","","p3",
8,214731,0,"","","left","p3",
9,214731,0,"","I don't even know mine","","p3",
10,218493,0,"an apple","","","p4",
11,218493,0,"","","right","p4",
12,222387,0,"","artichoke","","p5",
13,225522,0,"","","left","p5",
14,228129,0,"onion","","","p6",
15,231396,0,"","","right","p6",
16,231396,0,"","okay, are you ready?","","na",
17,231396,0,"yeah","","","na",
18,231396,0,"","umm i have a person who looks like they're like"," sitting up and holding ut something"," with their upright",
19,247005,0,"okay","","","1",
20,247005,0,"","i mean like it's like a, it's like not obviously a person, but it, like, looks like a person","","1",
21,250569,0,"okay zzz","","","1",
22,252978,252978,"","","left","1",
23,254161,0,"","oh","","2",
24,256674,0,"god what","","","2",
25,256674,274229,"umm.. okay so there's a square in the, like, top left corner, just like, hanging on, like, a triangle, and then there are like two tri- two small triangles on the bottom right and left corner","","","2",
26,274230,0,"","okay","","2",
27,276936,0,"","","right","2",
28,276936,295382,"","umm, it looks like a person again, and it looks like the person's, like, leaning forward a little bit and, like, holding out, like, a bowl or something","","3",
29,295383,0,"","","left","3",
30,295911,0,"umm it looks like a dog with a triangle head","","","4",
31,298089,0,"","okay, yeah, gotcha","","4",
32,298320,0,"","","right","4",
33,299640,0,"","umm it's, like, the one who's like kind of like skipping, or like running around, yeah","","5",
34,307692,0,"","","left","5",
35,307692,0,"umm just like a person who's looking down","","","6",
36,311652,0,"","okay","","",
37,313962,0,"yeah","","","6",
38,316107,0,"","yeah","","6",
39,316107,0,"","","right","6",
40,316107,0,"","umm, the one that's, like, looking on the floor, like kneeling on the floor, like, yeah","","7",
41,324423,0,"","","left","7",
42,324423,0,"it's like lying on the floor and then there are like two triangles on the left side of the screen look like-","","","8",
43,340692,0,"","so like, so the person with like legs up, like, kind of","","8",
44,341022,0,"look like they have a zzz","","","8",
45,342870,0,"","yeah","","8",
46,342870,0,"","","right","8",
47,342870,0,"","umm mine's like the one where like, imagine a person in the air, like, like  jumping up in the air and their leg, like, like their feet are in the air yeah","","9",
48,350724,0,"","","left","9",
49,355278,0,"mine is like a person sitting on like a square block","","","10",
50,360228,0,"","okay","","10",
51,360228,0,"","","right","10",
52,365409,0,"umm it's a person jumping in the air with their legs in the air","","","11",
53,377553,0,"","","right","11",
54,377553,0,"","umm just a person walking looking down","","12",
55,380655,0,"","","left","12",
56,380655,0,"it's the person praying, yeah","","","13",
57,388707,0,"","","right","13",
58,388707,0,"","umm like the dog or whatever, sticking its butt out","","14",
59,393591,0,"","","left","14",
60,394812,0,"its the person who's like skipping sideways","","","15",
61,398838,0,"","yeah","","15",
62,398838,0,"","","right","15",
63,400158,0,"","umm the one that's not the dog with the butt out","","16",
64,405603,0,"","","left","16",
65,406857,0,"it's like the person with the dish in their hand and they're standing straight up","","","17",
66,413523,0,"","","right","17",
67,415965,0,"","umm again the one that's not the dog thing yeah","","18",
68,420585,0,"","","left","18",
69,425964,0,"it's the person with a triangular dish, leaning little bit forward","","","19",
70,428868,0,"","","right","19",
71,429528,0,"","umm it's the person who's sitting on that square thing","","20",
72,437646,0,"","","left","20",
73,444114,0,"","umm the person who's holding out like a dish or something sitting upright","","21",
74,448800,0,"","","left","21",
75,448800,0,"the person who's lying on the floor with his feet up","","","22",
76,457677,0,"","","right","22",
77,457677,0,"","umm the person who's maybe praying or just on the floor","","23",
78,463782,0,"","","left","23",
79,463782,0,"the dog with the triangle hat","","","24",
80,469854,0,"","","right","24",
81,469854,0,"","umm the person with the triangular dish thing","","25",
82,476223,476222,"","","left","25",
83,476619,0,"the one that doesn't look like anything- it doesn't look like a person","","","26",
84,483483,0,"","like, the weird thing","","26",
85,485661,0,"yeah","","","26",
86,485661,0,"","a bird almost, yeah, okay","","26",
87,487707,0,"","","right","26",
88,490314,0,"","umm the one jumping up, feet in the air","","27",
89,493746,0,"","","left","27",
90,493746,0,"the one walking, looking down","","","28",
91,499917,0,"","not the dog","","28",
92,499917,0,"no","","","28",
93,499917,0,"","","right","28",
94,499917,0,"","umm not the dog","","29",
95,506319,0,"","","left","29",
96,506319,0,"um the one sitting on the square","","","30",
97,506319,506318,"","","right","30",
98,506319,506318,"umm the one walk- skipping sideways","","","31",
99,523446,0,"","","right","31",
100,523446,0,"","umm the one sitting on the little square","","32",
101,529122,0,"","","left","32",
102,530244,0,"the one with the triangle dish","","","33",
103,536019,536019,"","","right","33",
104,543708,0,"","the one that doesn't look like anything","","34",
105,546348,0,"","","left","34",
106,546348,0,"the one praying","","","35",
107,546348,0,"","","right","35",
108,551661,0,"","the one lying on the floor with feet up","","36",
109,552552,0,"","","left","36",
110,552552,0,"the one jumping in the air","","","37",
111,560274,0,"","","right","37",
112,560274,0,"","the one looking down and walking","","38",
113,565653,0,"","","left","38",
114,565653,0,"the one with the dish in their hand","","","39",
115,574233,0,"","","right","39",
116,574233,0,"","umm the dog","","40",
117,579909,0,"","","left","40",
