,experiment,subid,rep_num,target,person,age,word,final_match
0,adult-child,4,1,A1,child,6.0,walk,True
1,adult-child,4,1,B1,child,6.0,hand,False
2,adult-child,4,1,B1,child,6.0,pocket,False
3,adult-child,4,1,B1,child,6.0,walk,False
4,adult-child,4,1,C1,child,6.0,bend,False
5,adult-child,4,1,D1,parent,6.0,swim,True
6,adult-child,4,1,E1,child,6.0,jump,True
7,adult-child,4,1,E1,child,6.0,joy,False
8,adult-child,4,1,F1,child,6.0,raise,False
9,adult-child,4,1,F1,child,6.0,make,False
10,adult-child,4,1,F1,child,6.0,hand,False
11,adult-child,4,1,F1,child,6.0,triangle,False
12,adult-child,4,1,F1,child,6.0,shape,False
13,adult-child,4,1,F1,child,6.0,foot,False
14,adult-child,4,1,G1,parent,6.0,kneel,False
15,adult-child,4,1,G1,parent,6.0,ground,False
16,adult-child,4,1,H1,parent,6.0,hungry,False
17,adult-child,4,1,I1,parent,6.0,carry,False
18,adult-child,4,1,I1,parent,6.0,tray,False
19,adult-child,4,1,I1,parent,6.0,say,False
20,adult-child,4,1,K1,parent,6.0,tangrams,False
21,adult-child,4,1,K1,parent,6.0,remember,False
22,adult-child,4,1,K1,parent,6.0,little,False
23,adult-child,4,1,K1,parent,6.0,hat,False
24,adult-child,4,1,K1,parent,6.0,go,False
25,adult-child,4,2,A1,parent,6.0,run,False
26,adult-child,4,2,B1,parent,6.0,bad,False
27,adult-child,4,2,B1,parent,6.0,day,False
28,adult-child,4,2,C1,parent,6.0,drop,False
29,adult-child,4,2,C1,parent,6.0,key,False
30,adult-child,4,2,C1,parent,6.0,ground,False
31,adult-child,4,2,D1,child,6.0,swim,True
32,adult-child,4,2,E1,parent,6.0,good,False
33,adult-child,4,2,E1,parent,6.0,job,False
34,adult-child,4,2,F1,parent,6.0,okay,False
35,adult-child,4,2,F1,parent,6.0,say,False
36,adult-child,4,2,F1,parent,6.0,wait,False
37,adult-child,4,2,F1,parent,6.0,wait,False
38,adult-child,4,2,G1,child,6.0,sit,False
39,adult-child,4,2,G1,child,6.0,bench,False
40,adult-child,4,2,H1,child,6.0,monk,False
41,adult-child,4,2,I1,child,6.0,water,False
42,adult-child,4,2,I1,child,6.0,dog,False
43,adult-child,4,2,K1,child,6.0,ready,False
44,adult-child,4,2,K1,child,6.0,eat,False
45,adult-child,4,2,K1,child,6.0,wait,False
46,adult-child,4,2,K1,child,6.0,food,False
47,adult-child,4,3,A1,child,6.0,they're,False
48,adult-child,4,3,A1,child,6.0,they're,False
49,adult-child,4,3,A1,child,6.0,walk,True
50,adult-child,4,3,A1,child,6.0,good,False
51,adult-child,4,3,A1,child,6.0,day,False
52,adult-child,4,3,B1,child,6.0,sad,False
53,adult-child,4,3,C1,child,6.0,drop,False
54,adult-child,4,3,C1,child,6.0,penny,False
55,adult-child,4,3,E1,child,6.0,jump,True
56,adult-child,4,3,E1,child,6.0,joy,False
57,adult-child,4,3,F1,child,6.0,wait,False
58,adult-child,4,3,F1,child,6.0,bus,False
59,adult-child,4,3,F1,child,6.0,bus,False
60,adult-child,4,3,F1,child,6.0,run,False
61,adult-child,4,3,G1,parent,6.0,sit,False
62,adult-child,4,3,G1,parent,6.0,quiet,False
63,adult-child,4,3,G1,parent,6.0,break,False
64,adult-child,4,3,H1,parent,6.0,monk,False
65,adult-child,4,3,H1,parent,6.0,hold,False
66,adult-child,4,3,H1,parent,6.0,bowl,False
67,adult-child,4,3,I1,parent,6.0,turn,False
68,adult-child,4,3,I1,parent,6.0,say,False
69,adult-child,4,3,I1,parent,6.0,bring,False
70,adult-child,4,3,I1,parent,6.0,flower,True
71,adult-child,4,3,K1,parent,6.0,lean,False
72,adult-child,4,3,K1,parent,6.0,hold,True
73,adult-child,4,3,K1,parent,6.0,hand,False
