age,person,subid,measure,score
4,child,2,mtld,31.067538126361654
4,child,2,types,67
4,child,2,aoa,4.017114284768212
4,child,2,log_freq,10207.865601869888
4,child,5,mtld,19.399503311258282
4,child,5,types,168
4,child,5,aoa,4.242465190017513
4,child,5,log_freq,7921.549019607844
4,child,11,mtld,28.652636343064042
4,child,11,types,75
4,child,11,aoa,4.1450222000000005
4,child,11,log_freq,9336.430065359476
4,child,15,mtld,21.565914056809905
4,child,15,types,64
4,child,15,aoa,4.184223272727273
4,child,15,log_freq,10469.673796791443
4,child,16,mtld,25.647696476964768
4,child,16,types,84
4,child,16,aoa,4.3058572490272375
4,child,16,log_freq,7356.473868925002
4,child,18,mtld,15.654545454545454
4,child,18,types,49
4,child,18,aoa,4.3519220652173916
4,child,18,log_freq,6057.092071611253
4,child,25,mtld,20.60335392762577
4,child,25,types,93
4,child,25,aoa,4.258549274760384
4,child,25,log_freq,7095.117772348556
4,child,26,mtld,33.8980044345898
4,child,26,types,88
4,child,26,aoa,4.30495004845815
4,child,26,log_freq,8062.240649563791
4,child,27,mtld,15.034339229968783
4,child,27,types,35
4,child,27,aoa,3.866252109589041
4,child,27,log_freq,10505.313456889606
4,child,28,mtld,16.872845528455283
4,child,28,types,50
4,child,28,aoa,4.4092706368421055
4,child,28,log_freq,11160.718163054695
4,child,35,mtld,15.634017595307919
4,child,35,types,42
4,child,35,aoa,3.8603884505494506
4,child,35,log_freq,7993.581340228399
4,child,38,mtld,11.965811965811966
4,child,38,types,36
4,child,38,aoa,4.00836915
4,child,38,log_freq,11211.778186274509
4,child,42,mtld,18.687224669603523
4,child,42,types,79
4,child,42,aoa,3.845804785714286
4,child,42,log_freq,7420.381342227613
4,child,44,mtld,19.70703501445551
4,child,44,types,83
4,child,44,aoa,4.031134328205129
4,child,44,log_freq,8149.125791855204
4,child,46,mtld,28.888128454856542
4,child,46,types,80
4,child,46,aoa,3.8992236779661016
4,child,46,log_freq,7503.799268860087
4,child,48,mtld,16.963424124513615
4,child,48,types,56
4,child,48,aoa,4.371172719626168
4,child,48,log_freq,8253.363569726956
4,child,51,mtld,21.865648854961833
4,child,51,types,97
4,child,51,aoa,4.224370134199134
4,child,51,log_freq,7851.635429929548
4,child,53,mtld,24.11111111111111
4,child,53,types,59
4,child,53,aoa,4.36937139375
4,child,53,log_freq,5730.49681372549
4,child,54,mtld,21.07894736842105
4,child,54,types,161
4,child,54,aoa,4.336749634315425
4,child,54,log_freq,8450.858395351208
4,child,56,mtld,27.768595041322317
4,child,56,types,75
4,child,56,aoa,4.039423179190751
4,child,56,log_freq,9272.11243341267
4,child,60,mtld,22.044943820224717
4,child,60,types,85
4,child,60,aoa,4.289793099071208
4,child,60,log_freq,8048.570266496691
4,child,61,mtld,20.166666666666668
4,child,61,types,67
4,child,61,aoa,4.226005162790698
4,child,61,log_freq,6173.139078887369
4,child,64,mtld,20.7861709685058
4,child,64,types,80
4,child,64,aoa,4.109832025125629
4,child,64,log_freq,8820.33697901271
4,child,65,mtld,16.8
4,child,65,types,55
4,child,65,aoa,4.038180525252526
4,child,65,log_freq,10881.034066151713
