"i","rt","response","trial_type","trial_index","time_elapsed","internal_node_id","group1","group2","pair"
1,2010,22,"html-slider-response",2,76313,"0.0-2.0-0.0","C2","I1","C2 I1"
1,1669,66,"html-slider-response",3,78084,"0.0-2.0-0.1","I1","X1","I1 X1"
1,2330,10,"html-slider-response",4,80517,"0.0-2.0-0.2","W1","Y1","W1 Y1"
1,2459,89,"html-slider-response",5,83078,"0.0-2.0-0.3","S1","W1","S1 W1"
1,2810,39,"html-slider-response",6,85990,"0.0-2.0-0.4","F1","Y1","F1 Y1"
1,1957,40,"html-slider-response",7,88050,"0.0-2.0-0.5","M1","O1","M1 O1"
1,2073,89,"html-slider-response",8,90225,"0.0-2.0-0.6","A2","V1","A2 V1"
1,2195,74,"html-slider-response",9,92523,"0.0-2.0-0.7","O1","T1","O1 T1"
1,1657,38,"html-slider-response",10,94284,"0.0-2.0-0.8","O1","Y1","O1 Y1"
1,2259,96,"html-slider-response",11,96645,"0.0-2.0-0.9","B1","P1","B1 P1"
1,2061,59,"html-slider-response",12,98809,"0.0-2.0-0.10","E1","U1","E1 U1"
1,2042,37,"html-slider-response",13,100953,"0.0-2.0-0.11","A1","V1","A1 V1"
1,1604,28,"html-slider-response",14,102660,"0.0-2.0-0.12","H1","P1","H1 P1"
1,2142,36,"html-slider-response",15,104904,"0.0-2.0-0.13","I1","R1","I1 R1"
1,2254,42,"html-slider-response",16,107262,"0.0-2.0-0.14","E1","W1","E1 W1"
1,1517,27,"html-slider-response",17,108882,"0.0-2.0-0.15","E1","T1","E1 T1"
1,1754,14,"html-slider-response",18,110737,"0.0-2.0-0.16","B1","U1","B1 U1"
1,1360,36,"html-slider-response",19,112199,"0.0-2.0-0.17","A2","S1","A2 S1"
1,1363,54,"html-slider-response",20,113664,"0.0-2.0-0.18","R1","U1","R1 U1"
1,1443,36,"html-slider-response",21,115209,"0.0-2.0-0.19","A1","C2","A1 C2"
1,1741,35,"html-slider-response",22,117051,"0.0-2.0-0.20","P1","T1","P1 T1"
1,1490,61,"html-slider-response",23,118644,"0.0-2.0-0.21","A2","W1","A2 W1"
1,2094,9,"html-slider-response",24,120840,"0.0-2.0-0.22","G1","N1","G1 N1"
1,1620,75,"html-slider-response",25,122565,"0.0-2.0-0.23","O1","X1","O1 X1"
1,1375,23,"html-slider-response",26,124042,"0.0-2.0-0.24","A2","G1","A2 G1"
1,1184,26,"html-slider-response",27,125329,"0.0-2.0-0.25","G1","X1","G1 X1"
1,4607,56,"html-slider-response",28,130039,"0.0-2.0-0.26","A1","P1","A1 P1"
2,6276,23,"html-slider-response",2,31737,"0.0-2.0-0.0","B1","E1","B1 E1"
2,4931,88,"html-slider-response",3,36782,"0.0-2.0-0.1","F1","W1","F1 W1"
2,3153,0,"html-slider-response",4,40039,"0.0-2.0-0.2","C2","F1","C2 F1"
2,5420,18,"html-slider-response",5,45564,"0.0-2.0-0.3","E1","G1","E1 G1"
2,3254,80,"html-slider-response",6,48924,"0.0-2.0-0.4","T1","X1","T1 X1"
2,3743,58,"html-slider-response",7,52770,"0.0-2.0-0.5","M1","X1","M1 X1"
2,3415,31,"html-slider-response",8,56290,"0.0-2.0-0.6","P1","W1","P1 W1"
2,5181,53,"html-slider-response",9,61574,"0.0-2.0-0.7","Q1","X1","Q1 X1"
2,3519,32,"html-slider-response",10,65196,"0.0-2.0-0.8","B1","O1","B1 O1"
2,3012,17,"html-slider-response",11,68312,"0.0-2.0-0.9","M1","Z1","M1 Z1"
2,3261,29,"html-slider-response",12,71678,"0.0-2.0-0.10","B1","W1","B1 W1"
2,4196,78,"html-slider-response",13,75976,"0.0-2.0-0.11","I1","T1","I1 T1"
2,2871,5,"html-slider-response",14,78951,"0.0-2.0-0.12","A1","B2","A1 B2"
2,4605,74,"html-slider-response",15,83659,"0.0-2.0-0.13","F1","U1","F1 U1"
2,2744,39,"html-slider-response",16,86512,"0.0-2.0-0.14","J1","Z1","J1 Z1"
2,2862,30,"html-slider-response",17,89478,"0.0-2.0-0.15","J1","S1","J1 S1"
2,4087,54,"html-slider-response",18,93666,"0.0-2.0-0.16","L1","Q1","L1 Q1"
2,2765,29,"html-slider-response",19,96535,"0.0-2.0-0.17","W1","Z1","W1 Z1"
2,2917,27,"html-slider-response",20,99556,"0.0-2.0-0.18","I1","L1","I1 L1"
2,4886,29,"html-slider-response",21,104544,"0.0-2.0-0.19","S1","U1","S1 U1"
2,3258,25,"html-slider-response",22,107908,"0.0-2.0-0.20","V1","W1","V1 W1"
2,4242,69,"html-slider-response",23,112253,"0.0-2.0-0.21","B2","N1","B2 N1"
2,3400,38,"html-slider-response",24,115757,"0.0-2.0-0.22","E1","Q1","E1 Q1"
2,3077,38,"html-slider-response",25,118940,"0.0-2.0-0.23","M1","Q1","M1 Q1"
2,3292,44,"html-slider-response",26,122337,"0.0-2.0-0.24","P1","S1","P1 S1"
2,4171,82,"html-slider-response",27,126610,"0.0-2.0-0.25","B2","X1","B2 X1"
2,4169,95,"html-slider-response",28,130884,"0.0-2.0-0.26","H1","Y1","H1 Y1"
3,8221,8,"html-slider-response",2,108677,"0.0-2.0-0.0","C2","W1","C2 W1"
