subid,type,trial,target,person,correct,record
4,test,8,A1,child,Y,mine looks like something walking away
4,test,34,A1,parent,Y,And now my person is just walking down the street because they missed it
4,test,6,B1,child,Y,mine looks like a person that has their hands in their pocket and is walking away
4,test,2,C1,child,Y,mine looks kinda like a guy bending down
4,test,36,C1,parent,Y,"My person is diving into the pool, with their arms"
4,test,9,D1,parent,Y,Mine looks like a person swimming
4,test,37,D1,child,Y,My person looks like they're swimming at the end of the ocean
4,test,4,E1,child,Y,Mine looks like a person jumping for joy
4,test,38,E1,parent,Y,My person is jumping up to catch something
4,test,10,F1,child,Y,mine looks like a person making their hands in like a triangle shape and their feet are apart
4,test,32,F1,parent,Y,"My person is running down the street saying here I am, here I am, here I am!"
4,test,7,G1,parent,Y,Well mine looks like someone who's kneeling down maybe to do something on the ground
4,test,33,G1,child,Y,my person is quietly waiting for the bus on a bench
4,test,5,H1,parent,Y,Mine looks like someone's hungry and is like can I please have some more
4,test,3,I1,parent,Y,Mine looks like a guy carrying a tray saying would you like some?
4,test,39,I1,child,Y,"my person is holding out out a bucket of flowers, they're holding the flowers and putting them down for for their garden"
4,test,1,K1,parent,Y,"OK, so mine looks like a guy with a little hat"
4,test,35,K1,child,Y,My person is holding out a pot of soup for anybody wants to get it
5,test,5,A1,child,Y,he's standing on one leg
5,test,37,A1,child,Y,a person running
5,test,4,B1,child,Y,it's the person walking
5,test,27,C1,child,Y,now I see a triangle
5,test,33,C1,child,Y,I see a diamond on the person
5,test,10,D1,child,Y,I see an airplane
5,test,36,D1,child,Y,it's an airplane
5,test,9,E1,child,N,someone jumping and he's gonna fall down
5,test,31,E1,child,Y,someone jumped and a triangle and now they're pointing it facing down
5,test,2,F1,child,N,it looks like it has one point on right here and another point right here and it looks like a line down and a line down right here
5,test,30,F1,child,Y,It's the guy
5,test,8,G1,child,N,someone crawling
5,test,6,H1,child,Y,someone jumped into the air and he gonna fall down
5,test,38,H1,child,Y,It looks like it has a a diamond on a head and it looks like it has a triangle facing that way on the right
5,test,7,I1,parent,Y,pick the one with the doggy standing
5,test,39,I1,child,Y,the doggy
5,test,3,K1,parent,Y,do you see the one that looks like a doggy tryna like stand on its legs
5,test,35,K1,child,Y,The doggy standing on one leg
7,test,8,A1,child,Y,this one is the one that's running
7,test,38,A1,parent,Y,this one is when he's running but only got one foot on the ground
7,test,4,B1,child,Y,this one is walking
7,test,40,B1,parent,Y,this one is walking looking down
7,test,2,C1,child,Y,this one is a person is lying down
7,test,32,C1,parent,Y,this one's when he's on his elbows and knees
7,test,5,D1,parent,Y,"this one is when it's laying on its belly, like reading on the floor, kicking his knees up"
7,test,31,D1,child,Y,this one he is laying down reading a book
7,test,10,E1,child,Y,this one is doing jumping
7,test,36,E1,parent,Y,this one is jumping for joy
7,test,9,F1,parent,Y,this one looks like he's been doing dabs
7,test,7,G1,parent,Y,So this one is sitting in chair
7,test,37,G1,child,Y,this one is when he's sitting down on a chair
7,test,3,H1,parent,Y,this one's when it's standing up in a row and it's holding a plate again
7,test,1,I1,parent,Y,this one looks like a person holding a tray of food
7,test,6,K1,child,Y,he's bowing
7,test,34,K1,parent,Y,this one's when he's got that triangle on his tush and he's leaned over a bit
9,test,8,A1,child,Y,it looks like someone that had a good day
9,test,38,A1,parent,Y,it looks like someone walking away
9,test,1,B1,parent,Y,this one looks like a person walking with their head down
9,test,39,B1,child,Y,It looks like someone had a sad day
9,test,9,C1,parent,Y,it looks like someone who might be like kneeling and praying
9,test,37,C1,child,Y,"it looks like someone, like praying"
