experiment,subid,target,final_round_person,age,earlier_rep,later_rep,word,match
adult-child,4,A1,parent,6.0,1,2,run,False
adult-child,4,B1,parent,6.0,1,2,bad,False
adult-child,4,B1,parent,6.0,1,2,day,False
adult-child,4,C1,parent,6.0,1,2,drop,False
adult-child,4,C1,parent,6.0,1,2,ground,False
adult-child,4,C1,parent,6.0,1,2,key,False
adult-child,4,D1,child,6.0,1,2,swim,True
adult-child,4,E1,parent,6.0,1,2,good,False
adult-child,4,E1,parent,6.0,1,2,job,False
adult-child,4,F1,parent,6.0,1,2,okay,False
adult-child,4,F1,parent,6.0,1,2,say,False
adult-child,4,F1,parent,6.0,1,2,wait,False
adult-child,4,G1,child,6.0,1,2,bench,False
adult-child,4,G1,child,6.0,1,2,sit,False
adult-child,4,H1,child,6.0,1,2,monk,False
adult-child,4,I1,child,6.0,1,2,dog,False
adult-child,4,I1,child,6.0,1,2,water,False
adult-child,4,K1,child,6.0,1,2,eat,False
adult-child,4,K1,child,6.0,1,2,food,False
adult-child,4,K1,child,6.0,1,2,ready,False
adult-child,4,K1,child,6.0,1,2,wait,False
adult-child,4,A1,child,6.0,1,3,day,False
adult-child,4,A1,child,6.0,2,3,day,False
adult-child,4,A1,child,6.0,1,3,good,False
adult-child,4,A1,child,6.0,2,3,good,False
adult-child,4,A1,child,6.0,1,3,they're,False
adult-child,4,A1,child,6.0,2,3,they're,False
adult-child,4,A1,child,6.0,1,3,walk,True
adult-child,4,A1,child,6.0,2,3,walk,False
adult-child,4,B1,child,6.0,1,3,sad,False
adult-child,4,B1,child,6.0,2,3,sad,False
adult-child,4,C1,child,6.0,1,3,drop,False
adult-child,4,C1,child,6.0,2,3,drop,True
adult-child,4,C1,child,6.0,1,3,penny,False
adult-child,4,C1,child,6.0,2,3,penny,False
adult-child,4,E1,child,6.0,1,3,joy,True
adult-child,4,E1,child,6.0,2,3,joy,False
adult-child,4,E1,child,6.0,1,3,jump,True
adult-child,4,E1,child,6.0,2,3,jump,False
adult-child,4,F1,child,6.0,1,3,bus,False
adult-child,4,F1,child,6.0,2,3,bus,False
adult-child,4,F1,child,6.0,1,3,run,False
adult-child,4,F1,child,6.0,2,3,run,False
adult-child,4,F1,child,6.0,1,3,wait,False
adult-child,4,F1,child,6.0,2,3,wait,True
adult-child,4,G1,parent,6.0,1,3,break,False
adult-child,4,G1,parent,6.0,2,3,break,False
adult-child,4,G1,parent,6.0,1,3,quiet,False
adult-child,4,G1,parent,6.0,2,3,quiet,False
adult-child,4,G1,parent,6.0,1,3,sit,False
adult-child,4,G1,parent,6.0,2,3,sit,True
adult-child,4,H1,parent,6.0,1,3,bowl,False
adult-child,4,H1,parent,6.0,2,3,bowl,False
adult-child,4,H1,parent,6.0,1,3,hold,False
adult-child,4,H1,parent,6.0,2,3,hold,False
adult-child,4,H1,parent,6.0,1,3,monk,False
adult-child,4,H1,parent,6.0,2,3,monk,True
adult-child,4,I1,parent,6.0,1,3,bring,False
adult-child,4,I1,parent,6.0,2,3,bring,False
adult-child,4,I1,parent,6.0,1,3,flower,False
adult-child,4,I1,parent,6.0,2,3,flower,False
adult-child,4,I1,parent,6.0,1,3,say,True
adult-child,4,I1,parent,6.0,2,3,say,False
adult-child,4,I1,parent,6.0,1,3,turn,False
adult-child,4,I1,parent,6.0,2,3,turn,False
adult-child,4,K1,parent,6.0,1,3,hand,False
adult-child,4,K1,parent,6.0,2,3,hand,False
adult-child,4,K1,parent,6.0,1,3,hold,False
adult-child,4,K1,parent,6.0,2,3,hold,False
adult-child,4,K1,parent,6.0,1,3,lean,False
adult-child,4,K1,parent,6.0,2,3,lean,False
adult-child,4,A1,parent,6.0,1,4,miss,False
adult-child,4,A1,parent,6.0,2,4,miss,False
adult-child,4,A1,parent,6.0,3,4,miss,False
adult-child,4,A1,parent,6.0,1,4,street,False
adult-child,4,A1,parent,6.0,2,4,street,False
adult-child,4,A1,parent,6.0,3,4,street,False
adult-child,4,A1,parent,6.0,1,4,walk,True
adult-child,4,A1,parent,6.0,2,4,walk,False
adult-child,4,A1,parent,6.0,3,4,walk,True
adult-child,4,B1,parent,6.0,1,4,kick,False
adult-child,4,B1,parent,6.0,2,4,kick,False
adult-child,4,B1,parent,6.0,3,4,kick,False
adult-child,4,B1,parent,6.0,1,4,pinecone,False
adult-child,4,B1,parent,6.0,2,4,pinecone,False
adult-child,4,B1,parent,6.0,3,4,pinecone,False
adult-child,4,B1,parent,6.0,1,4,play,False
adult-child,4,B1,parent,6.0,2,4,play,False
adult-child,4,B1,parent,6.0,3,4,play,False
adult-child,4,B1,parent,6.0,1,4,rocket,False
adult-child,4,B1,parent,6.0,2,4,rocket,False
adult-child,4,B1,parent,6.0,3,4,rocket,False
adult-child,4,C1,parent,6.0,1,4,arm,False
adult-child,4,C1,parent,6.0,2,4,arm,False
adult-child,4,C1,parent,6.0,3,4,arm,False
adult-child,4,C1,parent,6.0,1,4,dive,False
adult-child,4,C1,parent,6.0,2,4,dive,False
adult-child,4,C1,parent,6.0,3,4,dive,False
adult-child,4,C1,parent,6.0,1,4,pool,False
adult-child,4,C1,parent,6.0,2,4,pool,False
adult-child,4,C1,parent,6.0,3,4,pool,False
adult-child,4,D1,child,6.0,1,4,end,False
adult-child,4,D1,child,6.0,2,4,end,False
adult-child,4,D1,child,6.0,3,4,end,False
adult-child,4,D1,child,6.0,1,4,ocean,False
adult-child,4,D1,child,6.0,2,4,ocean,False
adult-child,4,D1,child,6.0,3,4,ocean,False
adult-child,4,D1,child,6.0,1,4,swim,True
adult-child,4,D1,child,6.0,2,4,swim,True
adult-child,4,D1,child,6.0,3,4,swim,False
adult-child,4,E1,parent,6.0,1,4,catch,False
adult-child,4,E1,parent,6.0,2,4,catch,False
adult-child,4,E1,parent,6.0,3,4,catch,False
adult-child,4,E1,parent,6.0,1,4,jump,True
adult-child,4,E1,parent,6.0,2,4,jump,False
adult-child,4,E1,parent,6.0,3,4,jump,True
adult-child,4,F1,parent,6.0,1,4,run,False
adult-child,4,F1,parent,6.0,2,4,run,False
adult-child,4,F1,parent,6.0,3,4,run,True
adult-child,4,F1,parent,6.0,1,4,say,False
adult-child,4,F1,parent,6.0,2,4,say,True
adult-child,4,F1,parent,6.0,3,4,say,False
adult-child,4,F1,parent,6.0,1,4,street,False
adult-child,4,F1,parent,6.0,2,4,street,False
adult-child,4,F1,parent,6.0,3,4,street,False
adult-child,4,G1,child,6.0,1,4,bench,False
adult-child,4,G1,child,6.0,2,4,bench,True
adult-child,4,G1,child,6.0,3,4,bench,False
adult-child,4,G1,child,6.0,1,4,bus,False
