subid,type,trial,target,person,utterance,selection,correct
69,practice,1,apple,parent,"Ok, ah, sometimes it is red, and you can take a big bite, and it's delicious",,Y
69,practice,1,apple,child,Apple,,Y
69,practice,1,apple,child,,child,Y
69,practice,4,apple,child,"It's a red thing that uh, that uhm-",,Y
69,practice,4,apple,parent,Again? The apple?,,Y
69,practice,4,apple,child,Uh yeah,,Y
69,practice,4,apple,parent,,parent,Y
69,practice,2,artichoke,child,"It, uh, its a um, its a thing that has things and, um, little sides that they don't eat",,Y
69,practice,2,artichoke,parent,It's called an artichoke,,Y
69,practice,2,artichoke,parent,,parent,Y
69,practice,5,artichoke,parent,"The same as before. The spikey thing, that's green, and you don't like",,Y
69,practice,5,artichoke,parent,It's a vegetable,,Y
69,practice,5,artichoke,parent,"No it's not a pineapple, what did I say it was called? Artichoke",,Y
69,practice,5,artichoke,child,,child,Y
69,practice,3,onion,parent,"Well, it makes you cry when you cut it",,Y
69,practice,3,onion,child,Onion?,,Y
69,practice,3,onion,parent,That's right,,Y
69,practice,3,onion,child,,child,Y
69,practice,6,onion,child,"Oh. Oh, great, it's the thing where you cry again",,Y
69,practice,6,onion,parent,"Oh, but, well, onion then",,Y
69,practice,6,onion,parent,,parent,Y
69,test,3,A1,parent,I think he's running away,,Y
69,test,3,A1,child,,child,Y
69,test,15,A1,child,I think he's like running fast,,Y
69,test,15,A1,parent,,parent,Y
69,test,21,A1,parent,This guy is running away from you because you're moody,,Y
69,test,21,A1,child,,child,Y
69,test,33,A1,child,He's running,,Y
69,test,33,A1,parent,,parent,Y
69,test,33,A1,child,"Like, happily, it's hot out",,Y
69,test,6,B1,child,I think he's walking,,Y
69,test,6,B1,parent,,parent,Y
69,test,14,B1,parent,"Okay, alright, I think this guy's so sad, he's just walking around with his head down",,Y
69,test,14,B1,child,,child,Y
69,test,24,B1,child,This guy's just walking madly,,Y
69,test,24,B1,parent,,parent,Y
69,test,36,B1,parent,He's so sad,,Y
69,test,36,B1,child,,child,Y
69,test,9,C1,parent,I think he's praying,,N
69,test,9,C1,child,,child,N
69,test,11,C1,child,Falling down,,Y
69,test,11,C1,parent,,parent,Y
69,test,29,C1,parent,"Alright, this guy is begging you for cookies",,Y
69,test,29,C1,child,,child,Y
69,test,35,C1,parent,He's like um-,,Y
69,test,35,C1,child,"begging for, to go on the plane",,Y
69,test,35,C1,parent,,parent,Y
69,test,35,C1,child,on vacation,,Y
69,test,2,D1,child,I think he fell and he's laying down,,Y
69,test,2,D1,parent,,parent,Y
69,test,18,D1,parent,This guy is dead,,Y
69,test,18,D1,child,,child,Y
69,test,18,D1,child,He's not dead,,Y
69,test,30,D1,child,He's laying down,,Y
69,test,30,D1,parent,Taking a nap?,,Y
69,test,30,D1,parent,,parent,Y
69,test,34,D1,parent,"Oh, he just fell and hit his head",,Y
69,test,34,D1,child,,child,Y
69,test,1,E1,parent,I think this guy is falling,,Y
69,test,1,E1,child,Yeah,,Y
69,test,1,E1,child,,child,Y
69,test,19,E1,child,"Again with the pink head. I think this guy's um, he like tripped on his knees and he's falling down",,Y
69,test,19,E1,parent,Wow,,Y
69,test,19,E1,child,In the air,,Y
69,test,19,E1,parent,,parent,Y
69,test,23,E1,parent,This guy's jumping up in the air,,Y
69,test,23,E1,child,,child,Y
69,test,39,E1,child,He's like...,,Y
69,test,39,E1,parent,,parent,Y
69,test,39,E1,parent,"Oh, okay",,Y
69,test,8,F1,child,"Okay, I think he's like ahh",,Y
69,test,8,F1,parent,"He's running around screaming? Okay, I got it",,Y
69,test,8,F1,parent,,parent,Y
69,test,16,F1,parent,"Uh, this guy is running around screaming like ahh",,Y
69,test,16,F1,child,,child,Y
69,test,16,F1,child,It has a pink head,,Y
69,test,28,F1,child,He's running and jumping,,Y
69,test,28,F1,parent,,parent,Y
69,test,40,F1,parent,This guy's running away from you because you're crazy,,Y
69,test,40,F1,child,,child,Y
69,test,4,G1,child,I think he's sitting down,,Y
69,test,4,G1,parent,,parent,Y
69,test,20,G1,parent,I think he's just sitting,,Y
69,test,20,G1,child,,child,Y
69,test,26,G1,child,"I think this guy's just sitting down sadly, on a bench",,Y
69,test,26,G1,parent,,parent,Y
69,test,32,G1,parent,Uh I think he's sitting on a bench,,Y
69,test,32,G1,child,,child,Y
69,test,7,H1,parent,"Ooh, I think he went to college and now he's getting his degree",,Y
69,test,7,H1,child,,child,Y
69,test,17,H1,child,I think this guy is standing up and giving out a drink or something,,Y
69,test,17,H1,parent,Ooh okay,,Y
69,test,17,H1,parent,,parent,Y
69,test,27,H1,parent,This guy is the same guy that brought you cookies earlier,,Y
69,test,27,H1,child,,child,Y
69,test,31,H1,child,He's giving out cookies,,Y
69,test,31,H1,parent,,parent,Y
69,test,10,I1,child,I think it's like a person that's holding something,,Y
69,test,10,I1,parent,"He's holding a tray, very good",,Y
69,test,10,I1,parent,,parent,Y
69,test,12,I1,parent,I think this guy is bringing you drinks with a tray,,Y
69,test,12,I1,child,,child,Y
69,test,22,I1,child,I think this guy's giving out lemon water,,Y
69,test,22,I1,parent,,parent,Y
69,test,38,I1,parent,"Oh, this guy's-",,N
69,test,38,I1,child,,child,N
69,test,38,I1,parent,handing out cookies,,N
69,test,5,K1,parent,"I think he's jumping, I don't know. It's like a dog on two legs",,Y
69,test,5,K1,child,,child,Y
69,test,13,K1,child,"I think he's like... I don't, I don't know how to say",,Y
69,test,13,K1,parent,Okay,,Y
69,test,13,K1,parent,,parent,Y
69,test,25,K1,parent,Uh this guy's-,,N
69,test,25,K1,child,,child,N
69,test,25,K1,parent,bringing you cookies,,N
69,test,37,K1,child,"He's- he's like, he has a- he's giving out drinks xxx",,Y
69,test,37,K1,parent,,parent,Y
