id,p_age,trialnum,target,rightpic,leftpic,chosen,chosenside,chosenpic,date,time,occurrence,person,gameid,gametrial,subid,trial,age,measure,value
1,7,0,D1,K1,D1,1,R,D1,2/13/2020,11:35:20,1,parent,71,09,71,9,8,correct,1
1,7,0,D1,K1,D1,1,R,D1,2/13/2020,11:35:20,1,parent,71,09,71,9,8,rt,4694
1,7,0,D1,K1,D1,1,R,D1,2/13/2020,11:35:20,1,parent,71,09,71,9,8,log_rt,8.454040376410969
1,7,1,A1,A1,H1,2,L,A1,2/13/2020,11:35:20,2,child,62,31,62,31,8,correct,1
1,7,1,A1,A1,H1,2,L,A1,2/13/2020,11:35:20,2,child,62,31,62,31,8,rt,2307
1,7,1,A1,A1,H1,2,L,A1,2/13/2020,11:35:20,2,child,62,31,62,31,8,log_rt,7.7437032581737535
1,7,2,E1,E1,I1,2,L,E1,2/13/2020,11:35:20,2,parent,59,40,59,40,6,correct,1
1,7,2,E1,E1,I1,2,L,E1,2/13/2020,11:35:20,2,parent,59,40,59,40,6,rt,2888
1,7,2,E1,E1,I1,2,L,E1,2/13/2020,11:35:20,2,parent,59,40,59,40,6,log_rt,7.968319500012717
1,7,3,I1,I1,B1,1,L,I1,2/13/2020,11:35:20,1,child,55,04,55,4,4,correct,1
1,7,3,I1,I1,B1,1,L,I1,2/13/2020,11:35:20,1,child,55,04,55,4,4,rt,4402
1,7,3,I1,I1,B1,1,L,I1,2/13/2020,11:35:20,1,child,55,04,55,4,4,log_rt,8.389814262086407
1,7,4,C1,E1,C1,2,R,C1,2/13/2020,11:35:20,2,child,42,35,42,35,4,correct,1
1,7,4,C1,E1,C1,2,R,C1,2/13/2020,11:35:20,2,child,42,35,42,35,4,rt,4575
1,7,4,C1,E1,C1,2,R,C1,2/13/2020,11:35:20,2,child,42,35,42,35,4,log_rt,8.428361977709622
1,7,5,B1,C1,B1,1,R,B1,2/13/2020,11:35:20,1,child,11,04,11,4,4,correct,1
1,7,5,B1,C1,B1,1,R,B1,2/13/2020,11:35:20,1,child,11,04,11,4,4,rt,2101
1,7,5,B1,C1,B1,1,R,B1,2/13/2020,11:35:20,1,child,11,04,11,4,4,log_rt,7.650168700845001
1,7,6,F1,F1,K1,1,L,F1,2/13/2020,11:35:20,1,parent,34,07,34,7,8,correct,1
1,7,6,F1,F1,K1,1,L,F1,2/13/2020,11:35:20,1,parent,34,07,34,7,8,rt,3375
1,7,6,F1,F1,K1,1,L,F1,2/13/2020,11:35:20,1,parent,34,07,34,7,8,log_rt,8.12415060330663
1,7,7,G1,G1,C1,2,L,G1,2/13/2020,11:35:20,2,child,32,37,32,37,6,correct,1
1,7,7,G1,G1,C1,2,L,G1,2/13/2020,11:35:20,2,child,32,37,32,37,6,rt,5651
1,7,7,G1,G1,C1,2,L,G1,2/13/2020,11:35:20,2,child,32,37,32,37,6,log_rt,8.639587799629844
1,7,8,H1,H1,C1,1,L,H1,2/13/2020,11:35:20,1,parent,35,03,35,3,4,correct,1
1,7,8,H1,H1,C1,1,L,H1,2/13/2020,11:35:20,1,parent,35,03,35,3,4,rt,2976
1,7,8,H1,H1,C1,1,L,H1,2/13/2020,11:35:20,1,parent,35,03,35,3,4,log_rt,7.998335395952982
2,7,0,G1,G1,C1,1,L,G1,2/13/2020,11:38:27,1,child,33,02,33,2,8,correct,1
2,7,0,G1,G1,C1,1,L,G1,2/13/2020,11:38:27,1,child,33,02,33,2,8,rt,3666
2,7,0,G1,G1,C1,1,L,G1,2/13/2020,11:38:27,1,child,33,02,33,2,8,log_rt,8.20685642839965
1,7,9,K1,B1,K1,2,R,K1,2/13/2020,11:35:20,2,child,67,31,67,31,8,correct,1
1,7,9,K1,B1,K1,2,R,K1,2/13/2020,11:35:20,2,child,67,31,67,31,8,rt,3547
1,7,9,K1,B1,K1,2,R,K1,2/13/2020,11:35:20,2,child,67,31,67,31,8,log_rt,8.173857454773621
2,7,1,C1,E1,C1,2,R,C1,2/13/2020,11:38:27,2,child,67,39,67,39,8,correct,1
2,7,1,C1,E1,C1,2,R,C1,2/13/2020,11:38:27,2,child,67,39,67,39,8,rt,3373
2,7,1,C1,E1,C1,2,R,C1,2/13/2020,11:38:27,2,child,67,39,67,39,8,log_rt,8.12355783506165
2,7,2,E1,E1,I1,2,L,E1,2/13/2020,11:38:27,2,parent,62,40,62,40,8,correct,1
2,7,2,E1,E1,I1,2,L,E1,2/13/2020,11:38:27,2,parent,62,40,62,40,8,rt,4267
2,7,2,E1,E1,I1,2,L,E1,2/13/2020,11:38:27,2,parent,62,40,62,40,8,log_rt,8.358666283188
2,7,3,F1,K1,F1,1,L,K1,2/13/2020,11:38:27,1,parent,71,03,71,3,8,correct,0
2,7,3,F1,K1,F1,1,L,K1,2/13/2020,11:38:27,1,parent,71,03,71,3,8,rt,8010
2,7,3,F1,K1,F1,1,L,K1,2/13/2020,11:38:27,1,parent,71,03,71,3,8,log_rt,8.988446040062405
2,7,4,K1,F1,K1,2,L,F1,2/13/2020,11:38:27,2,child,40,33,40,33,8,correct,0
2,7,4,K1,F1,K1,2,L,F1,2/13/2020,11:38:27,2,child,40,33,40,33,8,rt,2838
2,7,4,K1,F1,K1,2,L,F1,2/13/2020,11:38:27,2,child,40,33,40,33,8,log_rt,7.950854857719988
2,7,5,B1,C1,B1,2,R,B1,2/13/2020,11:38:27,2,child,34,39,34,39,8,correct,1
2,7,5,B1,C1,B1,2,R,B1,2/13/2020,11:38:27,2,child,34,39,34,39,8,rt,3372
2,7,5,B1,C1,B1,2,R,B1,2/13/2020,11:38:27,2,child,34,39,34,39,8,log_rt,8.123261319121745
2,7,6,H1,C1,H1,1,R,H1,2/13/2020,11:38:27,1,parent,15,01,15,1,4,correct,1
2,7,6,H1,C1,H1,1,R,H1,2/13/2020,11:38:27,1,parent,15,01,15,1,4,rt,2807
2,7,6,H1,C1,H1,1,R,H1,2/13/2020,11:38:27,1,parent,15,01,15,1,4,log_rt,7.939871576361883
2,7,7,I1,B1,I1,1,R,I1,2/13/2020,11:38:27,1,child,39,08,39,8,6,correct,1
2,7,7,I1,B1,I1,1,R,I1,2/13/2020,11:38:27,1,child,39,08,39,8,6,rt,6256
2,7,7,I1,B1,I1,1,R,I1,2/13/2020,11:38:27,1,child,39,08,39,8,6,log_rt,8.741296282225147
2,7,8,D1,E1,D1,1,R,D1,2/13/2020,11:38:27,1,parent,4,09,4,9,6,correct,1
2,7,8,D1,E1,D1,1,R,D1,2/13/2020,11:38:27,1,parent,4,09,4,9,6,rt,2738
2,7,8,D1,E1,D1,1,R,D1,2/13/2020,11:38:27,1,parent,4,09,4,9,6,log_rt,7.914983005848394
2,7,9,A1,A1,I1,2,L,A1,2/13/2020,11:38:27,2,child,73,35,73,35,6,correct,1
2,7,9,A1,A1,I1,2,L,A1,2/13/2020,11:38:27,2,child,73,35,73,35,6,rt,2775
2,7,9,A1,A1,I1,2,L,A1,2/13/2020,11:38:27,2,child,73,35,73,35,6,log_rt,7.928406026180535
3,7,0,C1,A1,C1,1,R,C1,2/13/2020,11:40:21,1,child,74,06,74,6,6,correct,1
3,7,0,C1,A1,C1,1,R,C1,2/13/2020,11:40:21,1,child,74,06,74,6,6,rt,3355
3,7,0,C1,A1,C1,1,R,C1,2/13/2020,11:40:21,1,child,74,06,74,6,6,log_rt,8.118207049405783
3,7,1,D1,D1,H1,1,L,D1,2/13/2020,11:40:21,1,parent,57,01,57,1,8,correct,1
3,7,1,D1,D1,H1,1,L,D1,2/13/2020,11:40:21,1,parent,57,01,57,1,8,rt,9974
