target,occurrence,person,audio,subid,trial,leftpic,rightpic,correct,subject
A1,2,child,62_31,62,31,H1,A1,Y,1
B1,1,child,11_04,11,4,B1,C1,Y,1
C1,2,child,42_35,42,35,C1,E1,Y,1
D1,1,parent,71_09,71,9,D1,K1,Y,1
E1,2,parent,59_40,59,40,E1,I1,Y,1
F1,1,parent,34_07,34,7,K1,F1,Y,1
G1,2,child,32_37,32,37,C1,G1,Y,1
H1,1,parent,35_03,35,3,C1,H1,Y,1
I1,1,child,55_04,55,4,B1,I1,Y,1
K1,2,child,67_31,67,31,B1,K1,Y,1
A1,2,child,73_35,73,35,A1,I1,Y,2
B1,2,child,34_39,34,39,B1,C1,Y,2
C1,2,child,67_39,67,39,E1,C1,Y,2
D1,1,parent,04_09,4,9,D1,E1,Y,2
E1,2,parent,62_40,62,40,E1,I1,Y,2
F1,1,parent,71_03,71,3,F1,K1,Y,2
G1,1,child,33_02,33,2,G1,C1,Y,2
H1,1,parent,15_01,15,1,C1,H1,Y,2
I1,1,child,39_08,39,8,B1,I1,Y,2
K1,2,child,40_33,40,33,K1,F1,Y,2
A1,2,child,74_37,74,37,A1,I1,Y,3
B1,2,child,66_31,66,31,D1,B1,Y,3
C1,1,child,74_06,74,6,A1,C1,Y,3
D1,1,parent,57_01,57,1,D1,H1,Y,3
E1,2,parent,70_40,70,40,I1,E1,Y,3
F1,1,parent,50_03,50,3,B1,F1,Y,3
G1,2,child,72_33,72,33,E1,G1,Y,3
H1,1,parent,75_09,75,9,H1,E1,Y,3
I1,1,child,64_08,64,8,E1,I1,Y,3
K1,2,child,11_33,11,33,K1,B1,Y,3
A1,1,child,54_04,54,4,I1,A1,Y,4
B1,1,child,21_02,21,2,C1,B1,N,4
C1,2,child,54_33,54,33,I1,C1,Y,4
D1,1,parent,33_07,33,7,H1,D1,Y,4
E1,2,parent,15_32,15,32,E1,I1,Y,4
F1,2,parent,49_38,49,38,F1,B1,Y,4
G1,2,child,47_33,47,33,G1,K1,Y,4
H1,1,parent,36_09,36,9,H1,E1,Y,4
I1,2,child,67_33,67,33,A1,I1,Y,4
K1,1,child,58_06,58,6,K1,A1,N,4
A1,2,child,69_33,69,33,D1,A1,Y,5
B1,2,child,09_39,9,39,B1,I1,Y,5
C1,1,child,04_02,4,2,C1,I1,Y,5
D1,2,child,07_31,7,31,D1,H1,Y,5
E1,1,parent,21_01,21,1,E1,I1,Y,5
F1,1,parent,07_09,7,9,G1,F1,Y,5
G1,1,child,69_04,69,4,C1,G1,Y,5
H1,2,child,65_33,65,33,D1,H1,Y,5
I1,1,child,48_10,48,10,B1,I1,Y,5
K1,2,child,56_35,56,35,K1,A1,Y,5
A1,1,child,45_04,45,4,A1,D1,Y,6
B1,1,child,75_02,75,2,B1,D1,Y,6
C1,2,child,68_33,68,33,H1,C1,Y,6
D1,1,parent,52_01,52,1,D1,E1,Y,6
E1,2,parent,46_38,46,38,E1,B1,Y,6
F1,2,parent,61_34,61,34,F1,B1,Y,6
G1,2,child,67_37,67,37,G1,D1,Y,6
H1,1,parent,53_05,53,5,E1,H1,Y,6
I1,2,child,71_33,71,33,B1,I1,N,6
K1,1,child,26_08,26,8,D1,K1,Y,6
A1,2,parent,65_34,65,34,A1,D1,Y,7
B1,2,child,28_37,28,37,B1,C1,Y,7
C1,1,child,70_04,70,4,E1,C1,Y,7
D1,2,child,57_31,57,31,F1,D1,Y,7
E1,1,parent,58_03,58,3,I1,E1,Y,7
F1,1,parent,68_07,68,7,F1,B1,Y,7
G1,1,child,60_10,60,10,E1,G1,N,7
H1,2,child,37_35,37,35,A1,H1,Y,7
I1,1,child,11_10,11,10,B1,I1,Y,7
K1,2,child,14_39,14,39,F1,K1,Y,7
A1,1,child,50_04,50,4,I1,A1,Y,8
B1,1,child,35_06,35,6,C1,B1,N,8
C1,2,parent,50_36,50,36,C1,A1,Y,8
D1,1,parent,21_05,21,5,D1,F1,Y,8
E1,2,parent,65_38,65,38,B1,E1,Y,8
F1,2,parent,38_34,38,34,F1,K1,Y,8
G1,2,parent,59_36,59,36,E1,G1,Y,8
H1,1,parent,37_07,37,7,H1,E1,Y,8
I1,2,parent,11_36,11,36,I1,C1,Y,8
K1,1,child,09_10,9,10,D1,K1,Y,8
A1,2,parent,52_32,52,32,I1,A1,Y,9
B1,2,parent,64_36,64,36,I1,B1,Y,9
C1,1,child,28_06,28,6,I1,C1,Y,9
D1,2,child,59_39,59,39,D1,K1,Y,9
E1,1,parent,18_05,18,5,A1,E1,Y,9
F1,1,parent,75_01,75,1,B1,F1,Y,9
G1,1,child,26_02,26,2,G1,K1,N,9
H1,2,child,57_37,57,37,E1,H1,Y,9
I1,1,child,72_06,72,6,C1,I1,Y,9
K1,2,parent,12_38,12,38,K1,F1,Y,9
A1,1,child,59_04,59,4,A1,K1,Y,10
B1,1,child,18_08,18,8,D1,B1,Y,10
C1,2,parent,33_34,33,34,C1,H1,Y,10
D1,1,parent,51_09,51,9,E1,D1,Y,10
E1,2,child,21_37,21,37,A1,E1,N,10
F1,2,parent,14_34,14,34,F1,K1,Y,10
G1,2,parent,44_34,44,34,C1,G1,Y,10
H1,1,parent,50_07,50,7,E1,H1,Y,10
I1,2,parent,68_40,68,40,B1,I1,Y,10
K1,1,child,65_10,65,10,K1,B1,Y,10
A1,2,parent,36_38,36,38,A1,K1,Y,11
B1,2,parent,18_40,18,40,K1,B1,Y,11
C1,1,child,37_02,37,2,C1,H1,Y,11
D1,2,child,12_39,12,39,H1,D1,Y,11
E1,1,parent,52_03,52,3,E1,A1,N,11
F1,1,parent,43_09,43,9,F1,C1,Y,11
G1,1,child,52_08,52,8,E1,G1,Y,11
H1,2,child,36_39,36,39,C1,H1,Y,11
I1,1,child,73_08,73,8,I1,B1,Y,11
K1,2,parent,18_34,18,34,K1,B1,Y,11
A1,1,child,09_08,9,8,K1,A1,Y,12
B1,1,child,53_04,53,4,B1,D1,Y,12
C1,2,parent,46_32,46,32,I1,C1,N,12
D1,1,parent,61_07,61,7,K1,D1,Y,12
E1,2,child,09_33,9,33,I1,E1,Y,12
F1,2,child,11_39,11,39,F1,C1,Y,12
G1,2,parent,51_34,51,34,E1,G1,Y,12
H1,1,parent,57_09,57,9,H1,A1,Y,12
I1,2,parent,55_36,55,36,C1,I1,Y,12
K1,1,child,54_02,54,2,K1,F1,Y,12
A1,2,parent,57_38,57,38,A1,H1,Y,13
B1,2,parent,71_38,71,38,K1,B1,N,13
C1,1,child,36_10,36,10,C1,I1,Y,13
D1,2,child,38_31,38,31,D1,E1,N,13
E1,1,parent,28_05,28,5,E1,I1,Y,13
F1,1,parent,69_40,69,40,F1,C1,Y,13
G1,1,child,53_08,53,8,G1,E1,Y,13
H1,2,child,15_33,15,33,D1,H1,Y,13
I1,1,child,47_02,47,2,E1,I1,Y,13
K1,2,parent,75_38,75,38,K1,B1,Y,13
A1,1,child,16_06,16,6,A1,K1,Y,14
B1,1,child,07_04,7,4,K1,B1,Y,14
C1,2,parent,47_36,47,36,C1,I1,Y,14
D1,1,parent,37_03,37,3,F1,D1,Y,14
E1,1,child,27_02,27,2,I1,E1,Y,14
F1,2,child,54_35,54,35,K1,F1,Y,14
G1,2,parent,39_34,39,34,G1,E1,Y,14
H1,1,parent,21_07,21,7,H1,D1,Y,14
I1,2,parent,47_40,47,40,I1,A1,Y,14
K1,2,child,73_31,73,31,K1,D1,Y,14
A1,2,parent,07_38,7,38,K1,A1,Y,15
B1,2,parent,36_32,36,32,B1,C1,Y,15
C1,1,parent,43_07,43,7,C1,H1,Y,15
D1,2,child,43_39,43,39,D1,E1,Y,15
E1,2,child,68_37,68,37,A1,E1,N,15
F1,1,parent,17_01,17,1,C1,F1,Y,15
G1,1,parent,75_05,75,5,D1,G1,Y,15
H1,2,child,14_31,14,31,H1,A1,Y,15
I1,1,child,43_10,43,10,I1,C1,Y,15
K1,1,child,18_04,18,4,K1,A1,Y,15
A1,2,parent,58_40,58,40,I1,A1,Y,16
B1,2,child,13_39,13,39,C1,B1,Y,16
C1,1,child,21_06,21,6,C1,A1,N,16
D1,1,parent,46_07,46,7,D1,F1,Y,16
E1,1,parent,35_07,35,7,B1,E1,Y,16
F1,2,child,57_39,57,39,C1,F1,Y,16
G1,1,child,44_06,44,6,D1,G1,Y,16
H1,1,parent,74_01,74,1,H1,A1,Y,16
I1,2,parent,64_32,64,32,C1,I1,Y,16
K1,2,parent,31_38,31,38,D1,K1,Y,16
