"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"5657.700000017881","blue car","sedan.jpg","firetruck.jpg","{""Q0"":""blue car""}","far","familiar","trial","paired","survey-text","19","221886","0.0-19.0-0.0","32","8",""
"4421.9000000059605","table","diningtable.jpg","wardrobe.jpg","{""Q0"":""table""}","far","familiar","trial","paired","survey-text","20","226812","0.0-19.0-0.1","32","8",""
"4054.199999988079","bird","sparrow.jpg","squirrel.jpg","{""Q0"":""bird""}","far","familiar","trial","paired","survey-text","21","231373","0.0-19.0-0.2","32","8",""
"5607.5","dog","germanshepherd.jpg","cow.jpg","{""Q0"":""dog""}","far","familiar","trial","paired","survey-text","22","237486","0.0-19.0-0.3","32","8",""
"9616.90000000596","bright blue tshirt","poloshirt.jpg","dress.jpg","{""Q0"":""bright blue tshirt""}","far","familiar","trial","paired","survey-text","23","247605","0.0-19.0-0.4","32","8",""
"3726.9000000059605","jellybeans","jellybeans.jpg","pretzels.jpg","{""Q0"":""jellybeans""}","far","familiar","trial","paired","survey-text","24","251838","0.0-19.0-0.5","32","8",""
"3286.5","fish","goldfish.jpg","iguana.jpg","{""Q0"":""fish""}","far","familiar","trial","paired","survey-text","25","255631","0.0-19.0-0.6","32","8",""
"4110.199999988079","bear","grizzlybear.jpg","lion.jpg","{""Q0"":""bear""}","far","familiar","trial","paired","survey-text","26","260244","0.0-19.0-0.7","32","8",""
"16680.40000000596","person holding something similar to a plate","H1.jpg","I1.jpg","{""Q0"":""person holding something similar to a plate""}","close","tangram","trial","paired","survey-text","28","288609","0.0-21.0-0.0","32","8",""
"16066.800000011921","kicking","tangram-48.jpg","tangram-187.jpg","{""Q0"":""kicking""}","close","tangram","trial","paired","survey-text","29","305179","0.0-21.0-0.1","32","8",""
"9751.5","person sitting down on air","tangram-164.jpg","tangram-183.jpg","{""Q0"":""person sitting down on air""}","close","tangram","trial","paired","survey-text","30","315436","0.0-21.0-0.2","32","8",""
"5758.699999988079","someone running","tangram-55.jpg","N1.jpg","{""Q0"":""someone running""}","close","tangram","trial","paired","survey-text","31","321698","0.0-21.0-0.3","32","8",""
"8296.200000017881","walking","B1.jpg","P1.jpg","{""Q0"":""walking""}","close","tangram","trial","paired","survey-text","32","330500","0.0-21.0-0.4","32","8",""
"12636.09999999404","person with a triangle body","tangram-90.jpg","tangram-81.jpg","{""Q0"":""person with a triangle body""}","close","tangram","trial","paired","survey-text","33","343640","0.0-21.0-0.5","32","8",""
"18479.5","a cart or a vaccuum","A2.jpg","tangram-99.jpg","{""Q0"":""a cart or a vaccuum""}","close","tangram","trial","paired","survey-text","34","362623","0.0-21.0-0.6","32","8",""
"6538.9000000059605","someone jumping","tangram-67.jpg","tangram-32.jpg","{""Q0"":""someone jumping""}","close","tangram","trial","paired","survey-text","35","369665","0.0-21.0-0.7","32","8",""
"11493.300000011921","light blue tshirt that doesn't have anything on it","poloshirt.jpg","hawaiishirt.jpg","{""Q0"":""light blue tshirt that doesn't have anything on it""}","close","familiar","trial","paired","survey-text","37","394050","0.0-23.0-0.0","32","8",""
"4426.800000011921","goldfish","goldfish.jpg","swordfish.jpg","{""Q0"":""goldfish""}","close","familiar","trial","paired","survey-text","38","398981","0.0-23.0-0.1","32","8",""
"4403.4000000059605","blue car","sedan.jpg","sportscar.jpg","{""Q0"":""blue car""}","close","familiar","trial","paired","survey-text","39","403889","0.0-23.0-0.2","32","8",""
"3945.4000000059605","jellybeans","jellybeans.jpg","gummybears.jpg","{""Q0"":""jellybeans""}","close","familiar","trial","paired","survey-text","40","408341","0.0-23.0-0.3","32","8",""
"8429.799999982119","black and white dog","germanshepherd.jpg","pug.jpg","{""Q0"":""black and white dog""}","close","familiar","trial","paired","survey-text","41","417272","0.0-23.0-0.4","32","8",""
"10806.09999999404","table with no chairs","diningtable.jpg","picnictable.jpg","{""Q0"":""table with no chairs""}","close","familiar","trial","paired","survey-text","42","428585","0.0-23.0-0.5","32","8",""
"5366.300000011921","black bear","grizzlybear.jpg","polarbear.jpg","{""Q0"":""black bear""}","close","familiar","trial","paired","survey-text","43","434456","0.0-23.0-0.6","32","8",""
"7415.899999976158","little bird","sparrow.jpg","eagle.jpg","{""Q0"":""little bird""}","close","familiar","trial","paired","survey-text","44","442379","0.0-23.0-0.7","32","8",""
"5970.699999988079","someone running","tangram-55.jpg","tangram-143.jpg","{""Q0"":""someone running""}","far","tangram","trial","paired","survey-text","46","462900","0.0-25.0-0.0","32","8",""
"7002","kicking","tangram-48.jpg","D1.jpg","{""Q0"":""kicking""}","far","tangram","trial","paired","survey-text","47","470408","0.0-25.0-0.1","32","8",""
"17420.5","person ","tangram-90.jpg","tangram-120.jpg","{""Q0"":""person ""}","far","tangram","trial","paired","survey-text","48","488331","0.0-25.0-0.2","32","8",""
"5963.700000017881","someone walking","B1.jpg","tangram-4.jpg","{""Q0"":""someone walking""}","far","tangram","trial","paired","survey-text","49","494797","0.0-25.0-0.3","32","8",""
"5310.5","jumping","tangram-67.jpg","G1.jpg","{""Q0"":""jumping""}","far","tangram","trial","paired","survey-text","50","500615","0.0-25.0-0.4","32","8",""
"8528.59999999404","vaccuum","A2.jpg","C1.jpg","{""Q0"":""vaccuum""}","far","tangram","trial","paired","survey-text","51","509649","0.0-25.0-0.5","32","8",""
"5962.9000000059605","someone sitting down","tangram-164.jpg","tangram-64.jpg","{""Q0"":""someone sitting down""}","far","tangram","trial","paired","survey-text","52","516117","0.0-25.0-0.6","32","8",""
"6576.299999982119","someone holding a plate","H1.jpg","tangram-8.jpg","{""Q0"":""someone holding a plate""}","far","tangram","trial","paired","survey-text","53","523199","0.0-25.0-0.7","32","8",""
"7592.300000011921","table","pug.jpg","rabbit.jpg","","check","familiar","check","check","html-button-response-1","55","569899","0.0-27.0-0.0","32","8","1"
"6490.9000000059605","bear","firetruck.jpg","ambulance.jpg","","check","familiar","check","check","html-button-response-1","56","576894","0.0-27.0-0.1","32","8","1"
"6523.200000017881","polar bear","polarbear.jpg","grizzlybear.jpg","","check","familiar","check","check","html-button-response-1","57","583922","0.0-27.0-0.2","32","8","0"
"7254.4000000059605","red flower","rose.jpg","daisy.jpg","","check","familiar","check","check","html-button-response-1","58","591678","0.0-27.0-0.3","32","8","0"
"6690.5999999940395","cup","apple.jpg","pear.jpg","","check","familiar","check","check","html-button-response-1","59","598873","0.0-27.0-0.4","32","8","1"
"17870.40000000596","shirt","dressshirt.jpg","campshirt.jpg","","check","familiar","check","check","html-button-response-1","60","617248","0.0-27.0-0.5","32","8","1"
