_id,iterationName,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed
ObjectId(5ffe0f1be76abe1e679492c3),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,man,5752,tangram,isolated,C2.jpg,NA,survey-text,2,21944
ObjectId(5ffe0f22e76abe1e679492c4),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,thief,6047,tangram,isolated,P1.jpg,NA,survey-text,3,28508
ObjectId(5ffe0f34e76abe1e679492c6),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,dress,17342,tangram,isolated,M1.jpg,NA,survey-text,4,46356
ObjectId(5ffe0f39e76abe1e679492c7),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,horse,4826,tangram,isolated,tangram-114.jpg,NA,survey-text,5,51701
ObjectId(5ffe0f42e76abe1e679492c8),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,prayer,8954,tangram,isolated,tangram-111.jpg,NA,survey-text,6,61164
ObjectId(5ffe0f4ee76abe1e679492c9),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,dog,11355,tangram,isolated,tangram-179.jpg,NA,survey-text,7,73028
ObjectId(5ffe0f5be76abe1e679492cb),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,run,11926,tangram,isolated,tangram-150.jpg,NA,survey-text,8,85469
ObjectId(5ffe0f61e76abe1e679492cc),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,bow,5842,tangram,isolated,tangram-140.jpg,NA,survey-text,9,91820
ObjectId(5ffe0f62e76abe1e679492cd),full_sample,46,35GCEFQ6I6D5794FPUTL827FML73ZL,runner,8105.94499995932,tangram,isolated,tangram-55.jpg,NA,survey-text,2,82662
ObjectId(5ffe0f6be76abe1e679492ce),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,lean,9335,tangram,isolated,tangram-126.jpg,NA,survey-text,10,101668
ObjectId(5ffe0f6ce76abe1e679492cf),full_sample,46,35GCEFQ6I6D5794FPUTL827FML73ZL,hiking,9648.76499993261,tangram,isolated,L1.jpg,NA,survey-text,3,92814
ObjectId(5ffe0f73e76abe1e679492d1),full_sample,46,35GCEFQ6I6D5794FPUTL827FML73ZL,sitting,6189.02499997057,tangram,isolated,G1.jpg,NA,survey-text,4,99506
ObjectId(5ffe0f76e76abe1e679492d2),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,sprint,10337,tangram,isolated,tangram-55.jpg,NA,survey-text,11,112523
ObjectId(5ffe0f7be76abe1e679492d4),full_sample,46,35GCEFQ6I6D5794FPUTL827FML73ZL,lounging,7308.334999950603,tangram,isolated,tangram-143.jpg,NA,survey-text,5,107320
ObjectId(5ffe0f7de76abe1e679492d5),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,skip,6699,tangram,isolated,tangram-32.jpg,NA,survey-text,12,119731
ObjectId(5ffe0f7ee76abe1e679492d6),full_sample,163,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,running,6810.889999993378,tangram,isolated,R1.jpg,NA,survey-text,2,26574
ObjectId(5ffe0f7fe76abe1e679492d7),full_sample,46,35GCEFQ6I6D5794FPUTL827FML73ZL,digging,4175.354999955744,tangram,isolated,tangram-192.jpg,NA,survey-text,6,111998
ObjectId(5ffe0f83e76abe1e679492d8),full_sample,46,35GCEFQ6I6D5794FPUTL827FML73ZL,falling,3360.3900000452995,tangram,isolated,tangram-183.jpg,NA,survey-text,7,115862
ObjectId(5ffe0f84e76abe1e679492d9),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,relaxation,6588,tangram,isolated,tangram-183.jpg,NA,survey-text,13,126828
ObjectId(5ffe0f88e76abe1e679492da),full_sample,163,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,jogging,9868.784999998752,tangram,isolated,A1.jpg,NA,survey-text,3,36951
ObjectId(5ffe0f8ce76abe1e679492db),full_sample,46,35GCEFQ6I6D5794FPUTL827FML73ZL,climbing,8660.425000009127,tangram,isolated,tangram-9.jpg,NA,survey-text,8,125026
ObjectId(5ffe0f90e76abe1e679492dc),full_sample,46,35GCEFQ6I6D5794FPUTL827FML73ZL,rowing,3296.870000078343,tangram,isolated,D1.jpg,NA,survey-text,9,128826
ObjectId(5ffe0f90e76abe1e679492dd),full_sample,163,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,walking,7703.670000017155,tangram,isolated,tangram-44.jpg,NA,survey-text,4,45166
ObjectId(5ffe0f92e76abe1e679492de),full_sample,47,352YTHGROW24YKNPJMSXI0VG4VMH4U,dance,13129,tangram,isolated,tangram-192.jpg,NA,survey-text,14,140468
