"rt","utterance","target","foil","responses","competitor_type","target_type","test_part","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","id","age","button_pressed"
"7572.199999999255","candy","jellybeans.jpg","pretzels.jpg","{""Q0"":""candy""}","far","familiar","trial","paired","survey-text","19","75268675","0.0-19.0-0.0","38","4",""
"5158.39999999851","fish","goldfish.jpg","iguana.jpg","{""Q0"":""fish""}","far","familiar","trial","paired","survey-text","20","75274341","0.0-19.0-0.1","38","4",""
"3810.5","bird","sparrow.jpg","squirrel.jpg","{""Q0"":""bird""}","far","familiar","trial","paired","survey-text","21","75278655","0.0-19.0-0.2","38","4",""
"4054.300000000745","shirt","poloshirt.jpg","dress.jpg","{""Q0"":""shirt""}","far","familiar","trial","paired","survey-text","22","75283214","0.0-19.0-0.3","38","4",""
"4710","table","diningtable.jpg","wardrobe.jpg","{""Q0"":""table""}","far","familiar","trial","paired","survey-text","23","75288430","0.0-19.0-0.4","38","4",""
"3500.9000000003725","car","sedan.jpg","firetruck.jpg","{""Q0"":""car""}","far","familiar","trial","paired","survey-text","24","75292436","0.0-19.0-0.5","38","4",""
"4163.9000000003725","bear","grizzlybear.jpg","lion.jpg","{""Q0"":""bear""}","far","familiar","trial","paired","survey-text","25","75297105","0.0-19.0-0.6","38","4",""
"4565.5999999996275","dog","germanshepherd.jpg","cow.jpg","{""Q0"":""dog""}","far","familiar","trial","paired","survey-text","26","75302177","0.0-19.0-0.7","38","4",""
"64843.59999999963","person running","tangram-164.jpg","tangram-183.jpg","{""Q0"":""person running""}","close","tangram","trial","paired","survey-text","28","75383990","0.0-21.0-0.0","38","4",""
"59480.800000000745","picture","H1.jpg","I1.jpg","{""Q0"":""picture""}","close","tangram","trial","paired","survey-text","29","75443974","0.0-21.0-0.1","38","4",""
"16641.5","person ","tangram-55.jpg","N1.jpg","{""Q0"":""person ""}","close","tangram","trial","paired","survey-text","30","75461119","0.0-21.0-0.2","38","4",""
"8537.199999999255","person ","tangram-48.jpg","tangram-187.jpg","{""Q0"":""person ""}","close","tangram","trial","paired","survey-text","31","75470159","0.0-21.0-0.3","38","4",""
"6314.5999999996275","person walking ","B1.jpg","P1.jpg","{""Q0"":""person walking ""}","close","tangram","trial","paired","survey-text","32","75476977","0.0-21.0-0.4","38","4",""
"6706.800000000745","person","A2.jpg","tangram-99.jpg","{""Q0"":""person""}","close","tangram","trial","paired","survey-text","33","75484191","0.0-21.0-0.5","38","4",""
"6473.699999999255","tower","tangram-90.jpg","tangram-81.jpg","{""Q0"":""tower""}","close","tangram","trial","paired","survey-text","34","75491167","0.0-21.0-0.6","38","4",""
"9923.5","tower ","tangram-67.jpg","tangram-32.jpg","{""Q0"":""tower ""}","close","tangram","trial","paired","survey-text","35","75501596","0.0-21.0-0.7","38","4",""
"7483.60000000149","bear ","grizzlybear.jpg","polarbear.jpg","{""Q0"":""bear ""}","close","familiar","trial","paired","survey-text","37","75525857","0.0-23.0-0.0","38","4",""
"5548.299999998882","candy ","jellybeans.jpg","gummybears.jpg","{""Q0"":""candy ""}","close","familiar","trial","paired","survey-text","38","75531909","0.0-23.0-0.1","38","4",""
"5165","car ","sedan.jpg","sportscar.jpg","{""Q0"":""car ""}","close","familiar","trial","paired","survey-text","39","75537580","0.0-23.0-0.2","38","4",""
"22787.800000000745","dog","germanshepherd.jpg","pug.jpg","{""Q0"":""dog""}","close","familiar","trial","paired","survey-text","40","75560871","0.0-23.0-0.3","38","4",""
"6113.800000000745","shirt","poloshirt.jpg","hawaiishirt.jpg","{""Q0"":""shirt""}","close","familiar","trial","paired","survey-text","41","75567492","0.0-23.0-0.4","38","4",""
"5413.699999999255","table","diningtable.jpg","picnictable.jpg","{""Q0"":""table""}","close","familiar","trial","paired","survey-text","42","75573410","0.0-23.0-0.5","38","4",""
"6904.699999999255","fish","goldfish.jpg","swordfish.jpg","{""Q0"":""fish""}","close","familiar","trial","paired","survey-text","43","75580821","0.0-23.0-0.6","38","4",""
"4880.5","bird","sparrow.jpg","eagle.jpg","{""Q0"":""bird""}","close","familiar","trial","paired","survey-text","44","75586204","0.0-23.0-0.7","38","4",""
"7925.5999999996275","person ","tangram-67.jpg","G1.jpg","{""Q0"":""person ""}","far","tangram","trial","paired","survey-text","46","75608126","0.0-25.0-0.0","38","4",""
"6993.300000000745","tower","tangram-164.jpg","tangram-64.jpg","{""Q0"":""tower""}","far","tangram","trial","paired","survey-text","47","75615626","0.0-25.0-0.1","38","4",""
"10202.799999998882","person","tangram-90.jpg","tangram-120.jpg","{""Q0"":""person""}","far","tangram","trial","paired","survey-text","48","75626331","0.0-25.0-0.2","38","4",""
"8286.300000000745","monster","tangram-55.jpg","tangram-143.jpg","{""Q0"":""monster""}","far","tangram","trial","paired","survey-text","49","75635124","0.0-25.0-0.3","38","4",""
"11110.199999999255","narwhal ","H1.jpg","tangram-8.jpg","{""Q0"":""narwhal ""}","far","tangram","trial","paired","survey-text","50","75646737","0.0-25.0-0.4","38","4",""
"5060.300000000745","person","A2.jpg","C1.jpg","{""Q0"":""person""}","far","tangram","trial","paired","survey-text","51","75652303","0.0-25.0-0.5","38","4",""
"7446.9000000003725","boat ","B1.jpg","tangram-4.jpg","{""Q0"":""boat ""}","far","tangram","trial","paired","survey-text","52","75660257","0.0-25.0-0.6","38","4",""
"19968.400000000373","light","tangram-48.jpg","D1.jpg","{""Q0"":""light""}","far","tangram","trial","paired","survey-text","53","75680730","0.0-25.0-0.7","38","4",""
"32271.60000000149","shirt","dressshirt.jpg","campshirt.jpg","","check","familiar","check","check","html-button-response-1","55","75760555","0.0-27.0-0.0","38","4","1"
"7700.300000000745","polar bear","polarbear.jpg","grizzlybear.jpg","","check","familiar","check","check","html-button-response-1","56","75768759","0.0-27.0-0.1","38","4","0"
"11383.599999999627","dog","husky.jpg","dalmatian.jpg","","check","familiar","check","check","html-button-response-1","57","75780646","0.0-27.0-0.2","38","4","1"
"7487.5","cup","apple.jpg","pear.jpg","","check","familiar","check","check","html-button-response-1","58","75788639","0.0-27.0-0.3","38","4","1"
"7943.89999999851","M&Ms","mnms.jpg","gummybears.jpg","","check","familiar","check","check","html-button-response-1","59","75797089","0.0-27.0-0.4","38","4","0"
"7733.699999999255","table","pug.jpg","rabbit.jpg","","check","familiar","check","check","html-button-response-1","60","75805327","0.0-27.0-0.5","38","4","1"
"9090.5","bear","firetruck.jpg","ambulance.jpg","","check","familiar","check","check","html-button-response-1","61","75814923","0.0-27.0-0.6","38","4","1"
"7387.5","bird","parrot.jpg","pigeon.jpg","","check","familiar","check","check","html-button-response-1","62","75822815","0.0-27.0-0.7","38","4","0"
"6854.39999999851","red flower","rose.jpg","daisy.jpg","","check","familiar","check","check","html-button-response-1","63","75830175","0.0-27.0-0.8","38","4","0"
