iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id
testing,NA,9167.809999999918,NA,NA,NA,NA,html-button-response,0,9173,24
testing,NA,3764.5649999999478,NA,NA,NA,NA,html-button-response,1,13948,24
testing,NA,74388.39999999618,NA,NA,NA,NA,html-button-response,0,74392,28
testing,table,4867.2100000001155,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,2,19330,24
testing,NA,2328.0999999988126,NA,NA,NA,NA,html-button-response,1,77742,28
testing,candy,3957.510000000184,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,3,23805,24
testing,bird,3667.1349999999184,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,4,27994,24
testing,walker,8399.714999992284,tangram,far,B1.jpg,O1.jpg,survey-text,2,86657,28
testing,shirt,4731.379999999946,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,5,33241,24
testing,jump,4747.159999998985,tangram,far,E1.jpg,C2.jpg,survey-text,3,91908,28
testing,car,3854.325000000019,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,6,37609,24
testing,catch,4044.020000001183,tangram,far,F1.jpg,C1.jpg,survey-text,4,96458,28
testing,bear,4646.650000000132,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,7,42768,24
testing,lean,4911.684999999125,tangram,far,K1.jpg,V1.jpg,survey-text,5,101874,28
testing,goldfish,5905.004999999845,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,8,49188,24
testing,pray,6466.260000001057,tangram,far,H1.jpg,A2.jpg,survey-text,6,108845,28
testing,dog,5718.730000000054,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,9,55422,24
testing,run,4499.655000006896,tangram,far,A1.jpg,D1.jpg,survey-text,7,113850,28
testing,NA,3848.5749999999825,NA,NA,NA,NA,html-button-response,10,59782,24
testing,kneel,4749.414999998407,tangram,far,G1.jpg,N1.jpg,survey-text,8,119103,28
testing,serve,6940.549999999348,tangram,far,I1.jpg,R1.jpg,survey-text,9,126547,28
testing,NA,2453.2000000035623,NA,NA,NA,NA,html-button-response,10,129512,28
testing,fish,11536.640000000029,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,11,71831,24
testing,kneel,4009.5650000002934,tangram,close,G1.jpg,M1.jpg,survey-text,11,134025,28
testing,solid,7104.77499999979,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,12,79448,24
testing,dog,9214.705000005779,tangram,close,K1.jpg,T1.jpg,survey-text,12,143745,28
testing,shepherd,7542.914999999994,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,13,87503,24
testing,jump,6365.414999992936,tangram,close,E1.jpg,F1.jpg,survey-text,13,150614,28
testing,grizzly,7273.800000000163,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,14,95302,24
testing,interior,9399.539999999892,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,15,105215,24
testing,practical,13994.71500000004,familiar,close,sedan.jpg,sportscar.jpg,survey-text,16,119721,24
testing,bird,30160.345000011148,tangram,close,A1.jpg,A2.jpg,survey-text,14,181278,28
testing,common,5537.739999999976,familiar,close,sparrow.jpg,eagle.jpg,survey-text,17,125774,24
testing,classic,14001.76499999997,familiar,close,mnms.jpg,gummybears.jpg,survey-text,18,140285,24
testing,NA,2146.195000000036,NA,NA,NA,NA,html-button-response,19,142937,24
testing,shirt,6816.914999999892,familiar,far,poloshirt.jpg,dress.jpg,survey-text,20,150263,24
testing,bird,6108.7650000001595,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,21,156886,24
testing,candy,6537.949999999924,familiar,far,mnms.jpg,pretzels.jpg,survey-text,22,163930,24
testing,dog,5129.815000000031,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,23,169567,24
testing,car,3712.6200000000244,familiar,far,sedan.jpg,firetruck.jpg,survey-text,24,173793,24
testing,table,4901.714999999967,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,25,179205,24
