,iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id,utt_length,clean_utt
879,testing,bird,6727.14,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,2,46057,5,4,bird
880,testing,dog,5525.765,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,3,52111,5,3,dog
881,testing,car,7657.515,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,4,60297,5,3,car
882,testing,table,4079.29,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,5,64889,5,5,table
883,testing,shirt,3603.325,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,6,69035,5,5,shirt
884,testing,candy,4808.315,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,7,74386,5,5,candy
885,testing,fish,4257.355,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,8,79168,5,4,fish
886,testing,bear,3955.855,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,9,83642,5,4,bear
887,testing,shephard,7947.34,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,11,97392,5,8,shephard
888,testing,sparrow,8154.99,familiar,close,sparrow.jpg,eagle.jpg,survey-text,12,106103,5,7,sparrow
889,testing,grizzly,5485,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,13,112104,5,7,grizzly
890,testing,chocolate,5595.525,familiar,close,mnms.jpg,gummybears.jpg,survey-text,14,118227,5,9,chocolate
891,testing,gold,3599.225,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,15,122348,5,4,gold
892,testing,blue,5916.99,familiar,close,sedan.jpg,sportscar.jpg,survey-text,16,128779,5,4,blue
893,testing,solid,5223.39,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,17,134550,5,5,solid
894,testing,dining,12270.115,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,18,147353,5,6,dine
895,testing,walk,8546.125,tangram,far,A1.jpg,D1.jpg,survey-text,20,162011,5,4,walk
896,testing,thinner,6821.965,tangram,far,K1.jpg,V1.jpg,survey-text,21,169382,5,7,thin
897,testing,taller,4857.595,tangram,far,G1.jpg,N1.jpg,survey-text,22,174763,5,6,tall
898,testing,larger,7113.245,tangram,far,F1.jpg,C1.jpg,survey-text,23,182407,5,6,large
899,testing,handing,6568.43,tangram,far,I1.jpg,R1.jpg,survey-text,24,189504,5,7,hand
900,testing,kneeling,7093.79,tangram,far,B1.jpg,O1.jpg,survey-text,25,197151,5,8,kneel
901,testing,jumping,5886.6,tangram,far,E1.jpg,C2.jpg,survey-text,26,203578,5,7,jump
902,testing,praying,5968.965,tangram,far,H1.jpg,A2.jpg,survey-text,27,210087,5,7,pray
903,testing,large,8752.16,tangram,isolated,E1.jpg,F1.jpg,survey-text,29,223189,5,5,large
904,testing,kneeling,6461.325,tangram,isolated,I1.jpg,J1.jpg,survey-text,30,230171,5,8,kneel
905,testing,praying,5107.78,tangram,isolated,H1.jpg,Y1.jpg,survey-text,31,235826,5,7,pray
906,testing,wide,4990.375,tangram,isolated,F1.jpg,W1.jpg,survey-text,32,241365,5,4,wide
907,testing,bending,9084.875,tangram,isolated,K1.jpg,T1.jpg,survey-text,33,250978,5,7,bend
908,testing,skipping,5922.28,tangram,isolated,A1.jpg,A2.jpg,survey-text,34,257433,5,8,skip
909,testing,sitting,5568.465,tangram,isolated,G1.jpg,M1.jpg,survey-text,35,263552,5,7,sit
910,testing,bending,7014.165,tangram,isolated,B1.jpg,P1.jpg,survey-text,36,271082,5,7,bend
911,testing,hat,12079.88,tangram,close,K1.jpg,T1.jpg,survey-text,38,285593,5,3,hat
912,testing,upwards,7174.975,tangram,close,I1.jpg,J1.jpg,survey-text,40,340686,5,7,upwards
913,testing,praying,11262.935,tangram,close,H1.jpg,Y1.jpg,survey-text,41,352485,5,7,pray
914,testing,larger,14849.93,tangram,close,F1.jpg,W1.jpg,survey-text,42,367849,5,6,large
915,testing,skinnier,5240.94,tangram,close,A1.jpg,A2.jpg,survey-text,43,373618,5,8,skinny
916,testing,taller,9303.61,tangram,close,E1.jpg,F1.jpg,survey-text,44,383468,5,6,tall
917,testing,bending,6877.285,tangram,close,B1.jpg,P1.jpg,survey-text,45,390876,5,7,bend
918,testing,dog,9677.54,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,47,403763,5,3,dog
919,testing,fish,3617.715,familiar,far,goldfish.jpg,iguana.jpg,survey-text,48,407908,5,4,fish
920,testing,table,3686.285,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,49,412117,5,5,table
921,testing,grizzly,4694.64,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,50,417331,5,7,grizzly
922,testing,chocolate,6308.68,familiar,far,mnms.jpg,pretzels.jpg,survey-text,51,424193,5,9,chocolate
923,testing,car,4173.235,familiar,far,sedan.jpg,firetruck.jpg,survey-text,52,428912,5,3,car
924,testing,polo,3984.07,familiar,far,poloshirt.jpg,dress.jpg,survey-text,53,433454,5,4,polo
925,testing,bird,5132.4,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,54,439133,5,4,bird
326,testing,bear,10493,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,2,69498,7,4,bear
327,testing,fish,8543,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,3,78557,7,4,fish
328,testing,sparrow,10188,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,4,89254,7,7,sparrow
329,testing,table,11529,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,5,101294,7,5,table
330,testing,car,6056,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,6,107866,7,3,car
331,testing,shirt,6128,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,7,114506,7,5,shirt
332,testing,dog,5984,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,8,121002,7,3,dog
333,testing,shapes,13215,tangram,close,G1.jpg,M1.jpg,survey-text,11,169387,7,6,shape
334,testing,dog,17707,tangram,close,K1.jpg,T1.jpg,survey-text,12,187609,7,3,dog
335,testing,human,19027,tangram,close,A1.jpg,A2.jpg,survey-text,13,207150,7,5,human
336,testing,house,10274,tangram,close,H1.jpg,Y1.jpg,survey-text,15,248324,7,5,house
339,testing,human,9458,tangram,close,B1.jpg,P1.jpg,survey-text,16,258312,7,5,human
343,testing,bat,9090,tangram,close,E1.jpg,F1.jpg,survey-text,17,267917,7,3,bat
347,testing,shark,17597,tangram,close,F1.jpg,W1.jpg,survey-text,18,286027,7,5,shark
351,testing,dog,9364,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,20,303530,7,3,dog
353,testing,sparrow,7455,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,21,311497,7,7,sparrow
356,testing,fish,6264,familiar,far,goldfish.jpg,iguana.jpg,survey-text,22,318271,7,4,fish
358,testing,table,7677,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,23,326477,7,5,table
360,testing,bear,7673,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,24,334669,7,4,bear
372,testing,shirt,8914,familiar,far,poloshirt.jpg,dress.jpg,survey-text,26,439033,7,5,shirt
375,testing,car,6028,familiar,far,sedan.jpg,firetruck.jpg,survey-text,27,445572,7,3,car
382,testing,human,14010,tangram,isolated,B1.jpg,P1.jpg,survey-text,29,465082,7,5,human
386,testing,dog,8505,tangram,isolated,K1.jpg,T1.jpg,survey-text,30,474099,7,3,dog
388,testing,shark,6504,tangram,isolated,F1.jpg,W1.jpg,survey-text,31,481112,7,5,shark
392,testing,fish,9597,tangram,isolated,I1.jpg,J1.jpg,survey-text,32,491543,7,4,fish
395,testing,human,8387,tangram,isolated,A1.jpg,A2.jpg,survey-text,33,500446,7,5,human
399,testing,house,8288,tangram,isolated,H1.jpg,Y1.jpg,survey-text,34,509246,7,5,house
406,testing,bat,5965,tangram,isolated,E1.jpg,F1.jpg,survey-text,36,548933,7,3,bat
419,testing,goldfish,14617,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,39,600128,7,8,goldfish
422,testing,car,11745,familiar,close,sedan.jpg,sportscar.jpg,survey-text,40,612386,7,3,car
424,testing,dog,15286,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,41,628184,7,3,dog
427,testing,table,8650,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,42,637348,7,5,table
435,testing,shirt,8011,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,44,670297,7,5,shirt
