iterationName,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,man,5752,tangram,isolated,C2.jpg,NA,survey-text,2,21944
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,thief,6047,tangram,isolated,P1.jpg,NA,survey-text,3,28508
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,dress,17342,tangram,isolated,M1.jpg,NA,survey-text,4,46356
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,horse,4826,tangram,isolated,tangram-114.jpg,NA,survey-text,5,51701
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,prayer,8954,tangram,isolated,tangram-111.jpg,NA,survey-text,6,61164
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,dog,11355,tangram,isolated,tangram-179.jpg,NA,survey-text,7,73028
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,run,11926,tangram,isolated,tangram-150.jpg,NA,survey-text,8,85469
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,bow,5842,tangram,isolated,tangram-140.jpg,NA,survey-text,9,91820
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,runner,8105.94499995932,tangram,isolated,tangram-55.jpg,NA,survey-text,2,82662
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,lean,9335,tangram,isolated,tangram-126.jpg,NA,survey-text,10,101668
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,hiking,9648.76499993261,tangram,isolated,L1.jpg,NA,survey-text,3,92814
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,sitting,6189.02499997057,tangram,isolated,G1.jpg,NA,survey-text,4,99506
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,sprint,10337,tangram,isolated,tangram-55.jpg,NA,survey-text,11,112523
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,lounging,7308.334999950603,tangram,isolated,tangram-143.jpg,NA,survey-text,5,107320
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,skip,6699,tangram,isolated,tangram-32.jpg,NA,survey-text,12,119731
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,running,6810.889999993378,tangram,isolated,R1.jpg,NA,survey-text,2,26574
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,digging,4175.354999955744,tangram,isolated,tangram-192.jpg,NA,survey-text,6,111998
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,falling,3360.3900000452995,tangram,isolated,tangram-183.jpg,NA,survey-text,7,115862
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,relaxation,6588,tangram,isolated,tangram-183.jpg,NA,survey-text,13,126828
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,jogging,9868.784999998752,tangram,isolated,A1.jpg,NA,survey-text,3,36951
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,climbing,8660.425000009127,tangram,isolated,tangram-9.jpg,NA,survey-text,8,125026
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,rowing,3296.870000078343,tangram,isolated,D1.jpg,NA,survey-text,9,128826
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,walking,7703.670000017155,tangram,isolated,tangram-44.jpg,NA,survey-text,4,45166
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,dance,13129,tangram,isolated,tangram-192.jpg,NA,survey-text,14,140468
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,beg,5313,tangram,isolated,I1.jpg,NA,survey-text,15,146284
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,sleeping,7531.539999996312,tangram,isolated,Y1.jpg,NA,survey-text,5,53207
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,walking,8607.350000063889,tangram,isolated,F1.jpg,NA,survey-text,10,137937
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,lounging,5482.929999998305,tangram,isolated,D1.jpg,NA,survey-text,6,59198
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,rejection,7844,tangram,isolated,tangram-64.jpg,NA,survey-text,16,154636
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,pedestrian,8133.4550000028685,tangram,isolated,tangram-96.jpg,NA,survey-text,11,146574
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,dancing,4369.735000014771,tangram,isolated,tangram-53.jpg,NA,survey-text,7,64088
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,playing,5511.784999980591,tangram,isolated,O1.jpg,NA,survey-text,12,152590
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,kicking,5220.549999998184,tangram,isolated,tangram-187.jpg,NA,survey-text,8,69818
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,strawberry,9611,catch,NA,catch_trial.jpg,NA,survey-text,17,164755
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,marching,6182.009999989532,tangram,isolated,tangram-108.jpg,NA,survey-text,13,159275
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,dancing,3655.3700000513345,tangram,isolated,tangram-30.jpg,NA,survey-text,14,163435
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,dress,11751,tangram,isolated,tangram-146.jpg,NA,survey-text,18,177020
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,reading,14199.599999992643,tangram,isolated,tangram-4.jpg,NA,survey-text,9,84523
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,standing,4153.01000000909,tangram,isolated,C2.jpg,NA,survey-text,10,89184
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,crossing,9389.354999992065,tangram,isolated,tangram-178.jpg,NA,survey-text,15,173327
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,praying,7080,tangram,isolated,C1.jpg,NA,survey-text,19,184619
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,Santa,8606,tangram,isolated,tangram-9.jpg,NA,survey-text,20,193731
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,washing,10478.224999998929,tangram,isolated,tangram-179.jpg,NA,survey-text,11,100169
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,monk,6843,tangram,isolated,tangram-87.jpg,NA,survey-text,21,201091
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,walking,20105.845000012778,tangram,isolated,tangram-99.jpg,NA,survey-text,16,193936
full_sample,5,3JMSRU9HQJJR8NF2DHLE6NYGPZREVN,man,8195.169999962673,tangram,isolated,tangram-168.jpg,NA,survey-text,2,42006
full_sample,105,3TR2532VIQJE4DMTQAOXRBV9DEW6J9,napping,13057.449999992969,tangram,isolated,tangram-87.jpg,NA,survey-text,12,113729
full_sample,5,3JMSRU9HQJJR8NF2DHLE6NYGPZREVN,standing,4848.235000157729,tangram,isolated,T1.jpg,NA,survey-text,3,47365
full_sample,29,352YTHGROW24YKNPJMSXI0VG4VMH4U,girl,10078,tangram,isolated,A2.jpg,NA,survey-text,22,211675
full_sample,28,35GCEFQ6I6D5794FPUTL827FML73ZL,strawberry,7837.100000004284,catch,NA,catch_trial.jpg,NA,survey-text,17,202278
