subid,trial,person,role,target,rep_num,age,utterance,correct,experiment
4,1,child,matcher,K1,1,6,zzz,TRUE,adult-child
4,2,parent,matcher,C1,1,6,Oh I see,TRUE,adult-child
4,6,parent,matcher,B1,1,6,oh yeah!,TRUE,adult-child
4,10,parent,matcher,F1,1,6,Oh yeah they're like hold that bus,TRUE,adult-child
4,11,parent,matcher,H1,2,6,oh yeah!,TRUE,adult-child
4,13,parent,matcher,K1,2,6,"OK, got it",TRUE,adult-child
4,15,parent,matcher,I1,2,6,Oh yeah!,TRUE,adult-child
4,17,parent,matcher,G1,2,6,Oh yeah!,TRUE,adult-child
4,19,parent,matcher,D1,2,6,oh yeah!,TRUE,adult-child
4,22,parent,matcher,C1,3,6,"oh, good!",TRUE,adult-child
4,24,parent,matcher,A1,3,6,oh yeah,TRUE,adult-child
4,26,parent,matcher,F1,3,6,"oh no! Good, yeah",TRUE,adult-child
4,27,child,matcher,I1,3,6,What is your person,TRUE,adult-child
4,28,parent,matcher,B1,3,6,Oh maybe they're looking on the ground for another one maybe they're gonna see,TRUE,adult-child
4,30,parent,matcher,E1,3,6,Yeah!,TRUE,adult-child
4,31,parent,matcher,H1,4,6,oh,TRUE,adult-child
4,33,parent,matcher,G1,4,6,"My person is running down the street saying here I am, here I am, here I am!",TRUE,adult-child
4,35,parent,matcher,K1,4,6,"oh nice, yeah!",TRUE,adult-child
4,39,parent,matcher,I1,4,6,oh yeah!,TRUE,adult-child
5,2,parent,matcher,F1,1,4,OK no wait you have to describe to me what it looks like Does it look like a person What does it look like the person is doing It looks like a person walking? OK,FALSE,adult-child
5,3,child,matcher,K1,1,4,"Mhm Now I see I see the next shape with a triangle Up and down and I see a point up and now I I see another triangle hanging down I don't I'll pick I'll pick both I'll pick Yeah Oh, ok",TRUE,adult-child
5,4,parent,matcher,B1,1,4,Mhm What shapes do you see Mm so which one is in the blue box That's what it looks like,TRUE,adult-child
5,5,child,matcher,A1,1,4,But now Now Now zzz OK wait I see a person a zzz all going that way Yeah he's standing on one leg So I'll pick it,TRUE,adult-child
5,6,parent,matcher,H1,1,4,Now what do you see What else do you see So you see it in the blue box He's holding something That's what it looks like? OK,TRUE,adult-child
5,7,child,matcher,I1,1,4,Now I see a doggy and he he's holding on one leg Yeah and he's gonna fall down,TRUE,adult-child
5,8,parent,matcher,G1,1,4,Crawling and what else Which one do you see in the blue box Which one describe it to me Which one is what does it look like they're doing The one that looks like he's crawling,FALSE,adult-child
5,9,child,matcher,E1,1,4,Now now I see someone jumping and he's gonna fall down and I see someone um,FALSE,adult-child
5,10,parent,matcher,D1,1,4,Tell me what you see zzz,TRUE,adult-child
5,11,parent,matcher,C1,2,4,zzz zzz OK,TRUE,adult-child
5,12,child,matcher,D1,2,4,I see an airplane and someone jumping zzz zzz I didn't see you walking but he I didn't see him stop walking and I think he's holding his hands that way,TRUE,adult-child
5,13,parent,matcher,E1,2,4,What do you see now zzz blue box Ok which one was in the blue box OK,TRUE,adult-child
5,14,child,matcher,H1,2,4,Now I see someone running And someone with hands facing that way Like it's this one Um it's a triangle facing down and and a facing that way and that way up I want to pick this one This one I'll pick this guy He's holding his hands that way I'll pick him,TRUE,adult-child
5,15,parent,matcher,K1,2,4,What do you see Now which one is in the blue box OK,TRUE,adult-child
5,16,child,matcher,B1,2,4,I see a person um walking that way and I see a doggy um he's standing on his legs Um I see a diamond that is that is facing that way,TRUE,adult-child
5,17,parent,matcher,I1,2,4,Mhm And which one is in the blue box? Mhm,TRUE,adult-child
5,18,child,matcher,G1,2,4,I see a airplane coming in and toward this guy the person that's pointing that way I see um ok um a square on the top there um They on um This guy is on top of the triangle OK,FALSE,adult-child
5,19,parent,matcher,A1,2,4,That's what you see in the blue box,TRUE,adult-child
5,20,child,matcher,F1,2,4,Now I see now I see a thing climbing and I see someone crawling that way Yes it do Yes it does OK,TRUE,adult-child
5,21,child,matcher,I1,3,4,Now I see a triangle wait now I see a triangle and a person running and it looks and the face is looking like a diamond I see a triangle and a face that looks like a diamond zzz Um yeah Like someone running OK like the doggy OK,TRUE,adult-child
5,22,parent,matcher,G1,3,4,Mhm Which one is in the blue box The person,TRUE,adult-child
5,23,child,matcher,A1,3,4,I see two triangles that that's holding up Yeah The guy that's running,TRUE,adult-child
5,24,parent,matcher,D1,3,4,OK what do you see now Can you see the zzz the zzz other shapes do you see,TRUE,adult-child
5,25,child,matcher,K1,3,4,I see a square and I see a I see a triangle on a doggy head again I see a angle down and he's standing on Mhm I think I'll pick the um the doggy Wait I'll pick the bird again OK OK I'll pick the doggy,TRUE,adult-child
5,26,parent,matcher,B1,3,4,What do you see now What kind of shapes do you see Which one do you see in the blue box zzz There's two persons zzz right Well what are they doing On the blocks Is he walking,TRUE,adult-child
5,27,child,matcher,C1,3,4,Now I see a um triangle I see a zzz facing down and I see a a diamond and another diamond Um it's this one I see a diamond Down And I see and I see a triangle pointing and facing this way And zzz,TRUE,adult-child
5,28,parent,matcher,H1,3,4,OK what do you see now And which one is in the blue box Mhm you said the person is in the blue box You said the person is in the blue box,TRUE,adult-child
5,29,child,matcher,E1,3,4,Now I see a person walking slow and I see a person jumping I see a um triangle pointing um thing facing up and I see a pointing um,TRUE,adult-child
5,30,parent,matcher,F1,3,4,What do you see now Which one do you see in the blue box OK,TRUE,adult-child
5,31,parent,matcher,E1,4,4,Tell me what you see in the blue box,TRUE,adult-child
