"","answers.0.subid","answers.0.itemid","answers.0.audioid","answers.0.trialnum","answers.0.age","answers.0.target","answers.0.leftpic","answers.0.rightpic","answers.0.person","answers.0.side","answers.0.chosenpic","answers.0.correct","answers.0.date","answers.0.timestamp","answers.0.reactiontime","answers.0.occurrence","answers.1.subid","answers.1.itemid","answers.1.audioid","answers.1.trialnum","answers.1.age","answers.1.target","answers.1.leftpic","answers.1.rightpic","answers.1.person","answers.1.side","answers.1.chosenpic","answers.1.correct","answers.1.date","answers.1.timestamp","answers.1.reactiontime","answers.1.occurrence","answers.2.subid","answers.2.itemid","answers.2.audioid","answers.2.trialnum","answers.2.age","answers.2.target","answers.2.leftpic","answers.2.rightpic","answers.2.person","answers.2.side","answers.2.chosenpic","answers.2.correct","answers.2.date","answers.2.timestamp","answers.2.reactiontime","answers.2.occurrence","answers.3.subid","answers.3.itemid","answers.3.audioid","answers.3.trialnum","answers.3.age","answers.3.target","answers.3.leftpic","answers.3.rightpic","answers.3.person","answers.3.side","answers.3.chosenpic","answers.3.correct","answers.3.date","answers.3.timestamp","answers.3.reactiontime","answers.3.occurrence","answers.4.subid","answers.4.itemid","answers.4.audioid","answers.4.trialnum","answers.4.age","answers.4.target","answers.4.leftpic","answers.4.rightpic","answers.4.person","answers.4.side","answers.4.chosenpic","answers.4.correct","answers.4.date","answers.4.timestamp","answers.4.reactiontime","answers.4.occurrence","answers.5.subid","answers.5.itemid","answers.5.audioid","answers.5.trialnum","answers.5.age","answers.5.target","answers.5.leftpic","answers.5.rightpic","answers.5.person","answers.5.side","answers.5.chosenpic","answers.5.correct","answers.5.date","answers.5.timestamp","answers.5.reactiontime","answers.5.occurrence","answers.6.subid","answers.6.itemid","answers.6.audioid","answers.6.trialnum","answers.6.age","answers.6.target","answers.6.leftpic","answers.6.rightpic","answers.6.person","answers.6.side","answers.6.chosenpic","answers.6.correct","answers.6.date","answers.6.timestamp","answers.6.reactiontime","answers.6.occurrence","answers.7.subid","answers.7.itemid","answers.7.audioid","answers.7.trialnum","answers.7.age","answers.7.target","answers.7.leftpic","answers.7.rightpic","answers.7.person","answers.7.side","answers.7.chosenpic","answers.7.correct","answers.7.date","answers.7.timestamp","answers.7.reactiontime","answers.7.occurrence","answers.8.subid","answers.8.itemid","answers.8.audioid","answers.8.trialnum","answers.8.age","answers.8.target","answers.8.leftpic","answers.8.rightpic","answers.8.person","answers.8.side","answers.8.chosenpic","answers.8.correct","answers.8.date","answers.8.timestamp","answers.8.reactiontime","answers.8.occurrence","answers.9.subid","answers.9.itemid","answers.9.audioid","answers.9.trialnum","answers.9.age","answers.9.target","answers.9.leftpic","answers.9.rightpic","answers.9.person","answers.9.side","answers.9.chosenpic","answers.9.correct","answers.9.date","answers.9.timestamp","answers.9.reactiontime","answers.9.occurrence","answers.10.subid","answers.10.itemid","answers.10.audioid","answers.10.trialnum","answers.10.age","answers.10.target","answers.10.leftpic","answers.10.rightpic","answers.10.person","answers.10.side","answers.10.chosenpic","answers.10.correct","answers.10.date","answers.10.timestamp","answers.10.reactiontime","answers.10.occurrence"
"1","5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"39_10",0,"mturk","A1","D1","A1","child","R","A1",TRUE,"7/8/2020","13:57:44",5428,1,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"38_39",1,"mturk","B1","B1","D1","child","L","B1",TRUE,"7/8/2020","13:57:44",2844,1,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"16_10",2,"mturk","C1","C1","E1","child","R","E1",FALSE,"7/8/2020","13:57:44",2411,1,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"44_35",3,"mturk","D1","D1","H1","child","L","D1",TRUE,"7/8/2020","13:57:44",2132,2,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"35_39",4,"mturk","E1","E1","H1","child","L","E1",TRUE,"7/8/2020","13:57:44",2151,2,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"47_34",5,"mturk","F1","C1","F1","parent","R","F1",TRUE,"7/8/2020","13:57:44",1458,2,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"62_34",6,"mturk","G1","G1","E1","parent","R","E1",FALSE,"7/8/2020","13:57:44",2684,2,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"10_32",7,"mturk","H1","C1","H1","parent","L","C1",FALSE,"7/8/2020","13:57:44",1696,2,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"32_01",8,"mturk","I1","E1","I1","parent","R","I1",TRUE,"7/8/2020","13:57:44",551,1,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"64_07",9,"mturk","K1","K1","B1","parent","R","B1",FALSE,"7/8/2020","13:57:44",1451,1,"5946-1f6ee0bc-0831-4bea-b409-a3a5b8acf763",72,"finalcheck",10,"mturk","A1","A1","B1","check","R","B1",FALSE,"7/8/2020","13:57:44",2073,"check"
"2","0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"70_33",0,"mturk","A1","D1","A1","child","R","A1",TRUE,"7/8/2020","11:32:09",458,2,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"49_39",1,"mturk","B1","C1","B1","child","R","B1",TRUE,"7/8/2020","11:32:09",2314,2,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"17_37",2,"mturk","C1","C1","H1","child","R","H1",FALSE,"7/8/2020","11:32:09",2801,2,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"16_32",3,"mturk","D1","D1","H1","parent","L","D1",TRUE,"7/8/2020","11:32:09",1305,2,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"67_40",4,"mturk","E1","I1","E1","parent","R","E1",TRUE,"7/8/2020","11:32:09",1998,2,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"28_03",5,"mturk","F1","F1","G1","parent","L","F1",TRUE,"7/8/2020","11:32:09",2898,1,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"32_05",6,"mturk","G1","G1","D1","parent","L","G1",TRUE,"7/8/2020","11:32:09",2747,1,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"32_03",7,"mturk","H1","C1","H1","parent","R","H1",TRUE,"7/8/2020","11:32:09",2041,1,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"13_08",8,"mturk","I1","I1","A1","child","L","I1",TRUE,"7/8/2020","11:32:09",1425,1,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"12_08",9,"mturk","K1","K1","A1","child","L","K1",TRUE,"7/8/2020","11:32:09",1849,1,"0613-5fef4ac4-d91f-449c-bc0e-8df15be7cc19",73,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","11:32:09",1129,"check"
"3","9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"38_07",0,"mturk","A1","A1","H1","parent","L","A1",TRUE,"7/8/2020","12:37:49",2983,1,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"27_01",1,"mturk","B1","B1","C1","parent","L","B1",TRUE,"7/8/2020","12:37:49",1455,1,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"49_01",2,"mturk","C1","C1","E1","parent","L","C1",TRUE,"7/8/2020","12:37:49",1651,1,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"54_10",3,"mturk","D1","K1","D1","child","R","D1",TRUE,"7/8/2020","12:37:49",1213,1,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"12_10",4,"mturk","E1","A1","E1","child","L","A1",FALSE,"7/8/2020","12:37:49",254,1,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"44_33",5,"mturk","F1","F1","G1","child","L","F1",TRUE,"7/8/2020","12:37:49",234,2,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"11_37",6,"mturk","G1","K1","G1","child","R","G1",TRUE,"7/8/2020","12:37:49",11779,2,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"51_31",7,"mturk","H1","H1","D1","child","L","H1",TRUE,"7/8/2020","12:37:49",480,2,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"75_34",8,"mturk","I1","C1","I1","parent","R","I1",TRUE,"7/8/2020","12:37:49",2709,2,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"68_34",9,"mturk","K1","B1","K1","parent","R","K1",TRUE,"7/8/2020","12:37:49",419,2,"9907-e138d3cd-da29-4754-88a2-62ab0b395b54",71,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","12:37:49",609,"check"
"4","5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"46_40",0,"mturk","A1","I1","A1","parent","R","A1",TRUE,"7/8/2020","12:37:51",417,2,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"12_36",1,"mturk","B1","C1","B1","parent","L","C1",FALSE,"7/8/2020","12:37:51",49,2,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"40_32",2,"mturk","C1","C1","A1","parent","L","C1",TRUE,"7/8/2020","12:37:51",366,2,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"44_09",3,"mturk","D1","E1","D1","parent","R","D1",TRUE,"7/8/2020","12:37:51",206,1,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"10_01",4,"mturk","E1","A1","E1","parent","R","E1",TRUE,"7/8/2020","12:37:51",503,1,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"40_06",5,"mturk","F1","F1","C1","child","L","F1",TRUE,"7/8/2020","12:37:51",642,1,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"57_04",6,"mturk","G1","E1","G1","child","R","G1",TRUE,"7/8/2020","12:37:51",1109,1,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"30_02",7,"mturk","H1","H1","D1","child","L","H1",TRUE,"7/8/2020","12:37:51",1192,1,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"15_31",8,"mturk","I1","I1","E1","child","L","I1",TRUE,"7/8/2020","12:37:51",1362,2,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"45_31",9,"mturk","K1","K1","B1","child","L","K1",TRUE,"7/8/2020","12:37:51",679,2,"5638-d9eba36b-054c-4451-8f4e-30a3a4b4f972",62,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","12:37:51",164,"check"
"5","5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"74_05",0,"mturk","A1","K1","A1","parent","L","K1",FALSE,"7/8/2020","11:15:39",37336,1,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"49_09",1,"mturk","B1","B1","K1","parent","L","B1",TRUE,"7/8/2020","11:15:39",99,1,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"17_05",2,"mturk","C1","E1","C1","parent","R","C1",TRUE,"7/8/2020","11:15:39",1761,1,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"31_04",3,"mturk","D1","F1","D1","child","R","D1",TRUE,"7/8/2020","11:15:39",1486,1,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"70_10",4,"mturk","E1","E1","H1","child","L","E1",TRUE,"7/8/2020","11:15:39",953,1,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"09_31",5,"mturk","F1","B1","F1","child","R","F1",TRUE,"7/8/2020","11:15:39",781,2,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"20_32",6,"mturk","G1","G1","K1","parent","L","G1",TRUE,"7/8/2020","11:15:39",427,2,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"48_31",7,"mturk","H1","H1","C1","child","L","H1",TRUE,"7/8/2020","11:15:39",381,2,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"33_32",8,"mturk","I1","I1","C1","parent","L","I1",TRUE,"7/8/2020","11:15:39",488,2,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"09_32",9,"mturk","K1","B1","K1","parent","R","K1",TRUE,"7/8/2020","11:15:39",938,2,"5646-8f37ae27-1234-4286-bd60-aa74fffe6750",35,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","11:15:39",1310,"check"
"6","8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"11_31",0,"mturk","A1","K1","A1","child","R","A1",TRUE,"7/8/2020","11:36:57",1392,2,"8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"27_33",1,"mturk","B1","K1","B1","child","R","B1",TRUE,"7/8/2020","11:36:57",883,2,"8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"14_35",2,"mturk","C1","I1","C1","child","R","C1",TRUE,"7/8/2020","11:36:57",1912,2,"8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"66_35",3,"mturk","E1","E1","B1","child","L","E1",TRUE,"7/8/2020","11:36:57",571,2,"8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"59_10",4,"mturk","F1","F1","K1","child","L","F1",TRUE,"7/8/2020","11:36:57",1434,1,"8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"58_07",5,"mturk","G1","E1","G1","parent","R","G1",TRUE,"7/8/2020","11:36:57",1261,1,"8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"27_10",6,"mturk","H1","H1","A1","child","L","H1",TRUE,"7/8/2020","11:36:57",790,1,"8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"68_04",7,"mturk","I1","I1","E1","child","R","E1",FALSE,"7/8/2020","11:36:57",1443,1,"8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"72_02",8,"mturk","K1","D1","K1","child","R","K1",TRUE,"7/8/2020","11:36:57",8955,1,"8904-266e4599-6811-4613-8b2e-cb0ffecdc8f7",109,"finalcheck",9,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","11:36:57",1944,1,,,,,,,,,,,,,,,,
"7","9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"18_37",0,"mturk","A1","A1","I1","child","L","A1",TRUE,"7/8/2020","13:43:26",456,2,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"39_31",1,"mturk","B1","I1","B1","child","R","B1",TRUE,"7/8/2020","13:43:26",400,2,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"69_35",2,"mturk","C1","C1","A1","child","L","C1",TRUE,"7/8/2020","13:43:26",623,2,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"54_38",3,"mturk","D1","D1","H1","parent","L","D1",TRUE,"7/8/2020","13:43:26",1135,2,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"64_40",4,"mturk","E1","H1","E1","parent","R","E1",TRUE,"7/8/2020","13:43:26",454,2,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"48_01",5,"mturk","F1","F1","B1","parent","L","F1",TRUE,"7/8/2020","13:43:26",1246,1,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"45_09",6,"mturk","G1","G1","K1","parent","L","G1",TRUE,"7/8/2020","13:43:26",1990,1,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"47_07",7,"mturk","H1","E1","H1","parent","R","H1",TRUE,"7/8/2020","13:43:26",579,1,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"26_04",8,"mturk","I1","I1","A1","child","L","I1",TRUE,"7/8/2020","13:43:26",547,1,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"43_02",9,"mturk","K1","F1","K1","child","R","K1",TRUE,"7/8/2020","13:43:26",2563,1,"9490-1a476aaa-a8a8-418e-ac76-2352e0e88f97",93,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","13:43:26",266,"check"
"8","5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"36_06",0,"mturk","A1","D1","A1","child","R","A1",TRUE,"7/8/2020","13:38:44",1476,1,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"59_07",1,"mturk","B1","D1","B1","parent","R","B1",TRUE,"7/8/2020","13:38:44",623,1,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"53_09",2,"mturk","C1","A1","C1","parent","R","C1",TRUE,"7/8/2020","13:38:44",585,1,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"14_33",3,"mturk","D1","D1","H1","child","L","D1",TRUE,"7/8/2020","13:38:44",927,2,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"60_35",4,"mturk","E1","H1","E1","child","R","E1",TRUE,"7/8/2020","13:38:44",667,2,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"52_37",5,"mturk","F1","C1","F1","child","R","F1",TRUE,"7/8/2020","13:38:44",1668,2,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"57_36",6,"mturk","G1","D1","G1","parent","R","G1",TRUE,"7/8/2020","13:38:44",2047,2,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"72_36",7,"mturk","H1","D1","H1","parent","R","H1",TRUE,"7/8/2020","13:38:44",1315,2,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"37_05",8,"mturk","I1","C1","I1","parent","R","I1",TRUE,"7/8/2020","13:38:44",1486,1,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"04_01",9,"mturk","K1","K1","F1","parent","L","K1",TRUE,"7/8/2020","13:38:44",1800,1,"5402-a8685920-073f-400d-832a-0b9d9a5d3c41",96,"finalcheck",10,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","13:38:44",583,"check"
"9","6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"32_34",0,"mturk","A1","H1","A1","parent","L","H1",FALSE,"7/8/2020","10:37:27",2976,2,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"67_34",1,"mturk","B1","I1","B1","parent","L","I1",FALSE,"7/8/2020","10:37:27",1022,2,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"72_40",2,"mturk","C1","C1","I1","parent","R","I1",FALSE,"7/8/2020","10:37:27",1750,2,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"07_05",3,"mturk","D1","F1","D1","parent","R","D1",TRUE,"7/8/2020","10:37:27",1067,1,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"72_07",4,"mturk","E1","E1","H1","parent","L","E1",TRUE,"7/8/2020","10:37:27",236,1,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"67_08",5,"mturk","F1","F1","B1","child","L","F1",TRUE,"7/8/2020","10:37:27",901,1,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"70_02",6,"mturk","G1","C1","G1","child","R","G1",TRUE,"7/8/2020","10:37:27",753,1,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"56_10",7,"mturk","H1","H1","D1","child","L","H1",TRUE,"7/8/2020","10:37:27",878,1,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"14_37",8,"mturk","I1","I1","E1","child","L","I1",TRUE,"7/8/2020","10:37:27",267,2,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"39_39",9,"mturk","K1","K1","D1","child","L","K1",TRUE,"7/8/2020","10:37:27",282,2,"6906-435cb26d-9bf8-4536-96ae-8780068ba484",86,"finalcheck",10,"mturk","A1","A1","B1","check","R","B1",FALSE,"7/8/2020","10:37:27",491,"check"
"10","4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"27_32",0,"mturk","A1","A1","H1","parent","L","A1",TRUE,"7/8/2020","13:55:17",2385,2,"4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"16_39",1,"mturk","B1","B1","C1","child","L","B1",TRUE,"7/8/2020","13:55:17",1041,2,"4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"38_01",2,"mturk","D1","K1","D1","parent","R","D1",TRUE,"7/8/2020","13:55:17",10,1,"4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"34_02",3,"mturk","E1","E1","A1","child","R","A1",FALSE,"7/8/2020","13:55:17",2230,1,"4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"36_03",4,"mturk","F1","F1","B1","parent","L","F1",TRUE,"7/8/2020","13:55:17",14,1,"4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"28_04",5,"mturk","G1","G1","E1","child","R","E1",FALSE,"7/8/2020","13:55:17",1144,1,"4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"48_05",6,"mturk","H1","E1","H1","parent","R","H1",TRUE,"7/8/2020","13:55:17",1763,1,"4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"21_39",7,"mturk","I1","A1","I1","child","R","I1",TRUE,"7/8/2020","13:55:17",2501,2,"4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"57_33",8,"mturk","K1","A1","K1","child","R","K1",TRUE,"7/8/2020","13:55:17",920,2,"4019-6c5dbb6b-0509-4dc9-88a7-465d002766dc",106,"finalcheck",9,"mturk","A1","A1","B1","check","L","A1",TRUE,"7/8/2020","13:55:17",243,1,,,,,,,,,,,,,,,,
