subid,type,trial,target,leftpic,rightpic,person,utterance,selection,correct
4,practice,1,apple,banana,apple,parent,"so it's red, and we eat a lot of them. what is it?",,Y
4,practice,1,apple,banana,apple,child,apple?,,Y
4,practice,1,apple,banana,apple,parent,yeah,,Y
4,practice,1,apple,banana,apple,parent,do you want to hit it?,,Y
4,practice,1,apple,banana,apple,child,,child,Y
4,practice,4,apple,banana,apple,child,it's red and we eat them a lot,,Y
4,practice,4,apple,banana,apple,parent,,parent,Y
4,practice,2,artichoke,artichoke,onion,child,i'm not too sure what it is,,Y
4,practice,2,artichoke,artichoke,onion,parent,"that's okay, why don't you start describing it",,Y
4,practice,2,artichoke,artichoke,onion,child,i think that it's like green and that it has like leaves and a stalk,,Y
4,practice,2,artichoke,artichoke,onion,parent,yeah,,Y
4,practice,2,artichoke,artichoke,onion,parent,,parent,Y
4,practice,2,artichoke,artichoke,onion,parent,"it's like, um, an artichoke. that's what that last thing was called",,Y
4,practice,5,artichoke,onion,artichoke,parent,"alright, so, the artichoke? you make like dips and stuff out of it? and did you know you can bake it and pull the leaves off and eat it? it's actually really good. can you choose that?",,Y
4,practice,5,artichoke,onion,artichoke,child,,child,Y
4,practice,3,onion,artichoke,onion,parent,"ok when we're making like, tacos, or burritos",,Y
4,practice,3,onion,artichoke,onion,child,i know what it is,,Y
4,practice,3,onion,artichoke,onion,parent,what is it?,,Y
4,practice,3,onion,artichoke,onion,child,onions,,Y
4,practice,3,onion,artichoke,onion,parent,"alright, why don't you hit it",,Y
4,practice,3,onion,artichoke,onion,child,,child,Y
4,practice,6,onion,artichoke,onion,child,um it's like brown and you peel the skin off of it because you can't eat it and,,Y
4,practice,6,onion,artichoke,onion,parent,what would it feel like to eat it? would it be like weird crunchy?,,Y
4,practice,6,onion,artichoke,onion,child,"umm, kind of? it's going to be like, hot, and it would never cool down",,Y
4,practice,6,onion,artichoke,onion,parent,,parent,Y
4,test,3,B2,O1,B2,child,so this one is like they're standing more upright and there's like a long leg in the back and just like a regular leg in the front,,Y
4,test,3,B2,O1,B2,child,is it wearing a hat?,,Y
4,test,3,B2,O1,B2,parent,it is,,Y
4,test,3,B2,O1,B2,child,,child,Y
4,test,13,B2,B2,R1,child,um the slower runnign one,,Y
4,test,13,B2,B2,R1,parent,the slower one?,,Y
4,test,13,B2,B2,R1,parent,,parent,Y
4,test,23,B2,L1,B2,parent,"alright the one that looks like theyre walking, not dancing",,N
4,test,23,B2,L1,B2,child,,child,N
4,test,31,B2,T1,B2,child,it's the guy with the hat on,,Y
4,test,31,B2,T1,B2,parent,,parent,Y
4,test,4,I1,T1,I1,child,um so it's a guy who's like bent and he's holding out a bowl,,Y
4,test,4,I1,T1,I1,parent,what do you think would be in it?,,Y
4,test,4,I1,T1,I1,child,soup maybe?,,Y
4,test,4,I1,T1,I1,parent,,parent,Y
4,test,12,I1,I1,J1,parent,holding soup,,Y
4,test,12,I1,I1,J1,child,,child,Y
4,test,24,I1,B2,I1,child,"um the one that's standing still, not moving, and holding soup",,Y
4,test,24,I1,B2,I1,parent,not the one holding soup?,,Y
4,test,24,I1,B2,I1,child,"no, the one holding soup",,Y
4,test,24,I1,B2,I1,parent,,parent,Y
4,test,32,I1,K1,I1,parent,holding soup,,Y
4,test,32,I1,K1,I1,child,,child,Y
4,test,8,J1,J1,I1,child,it kind of looks like the guy is flying,,Y
4,test,8,J1,J1,I1,parent,flying?,,Y
4,test,8,J1,J1,I1,child,yeah,,Y
4,test,8,J1,J1,I1,parent,,parent,Y
4,test,20,J1,J1,R1,parent,alright so this one looks like they are reading a book while running,,Y
4,test,20,J1,J1,R1,child,,child,Y
4,test,30,J1,K1,J1,child,the body is bigger than the other one and it looks like they are flying and reading a book,,Y
4,test,30,J1,K1,J1,parent,so maybe like harry potter?,,Y
4,test,30,J1,K1,J1,parent,,parent,Y
4,test,38,J1,J1,T1,parent,flying and reading,,Y
4,test,38,J1,J1,T1,child,,child,Y
4,test,38,J1,J1,T1,child,harry potter!,,Y
4,test,38,J1,J1,T1,parent,harry potter,,Y
4,test,2,K1,L1,K1,child,um it's like a guy standing. his body is curved and it looks like he has a tail. his arm is stuck out like that,,Y
4,test,2,K1,L1,K1,parent,like that?>,,Y
4,test,2,K1,L1,K1,parent,,parent,Y
4,test,2,K1,L1,K1,child,and he has a hat on,,Y
4,test,16,K1,K1,I1,parent,so this one is like the arms are outstretched,,Y
4,test,16,K1,K1,I1,child,,child,Y
4,test,26,K1,T1,K1,child,"um this one is like standing still with his body bent. he has a hat on, hands outstretched, and he has a tail",,Y
4,test,26,K1,T1,K1,parent,,parent,Y
4,test,34,K1,K1,J1,parent,this one looks like they're about to serve you something,,Y
